timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787757669.498279206,panther_controller,44.21%,135.5MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787757669.498279206,panther2_controller,58.87%,133.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757669.498279206,panther3_controller,37.91%,134.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757669.498279206,panther4_controller,49.25%,132.6MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757671.567314409,panther_controller,39.19%,138.2MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757671.567314409,panther2_controller,51.13%,134.4MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757671.567314409,panther3_controller,66.38%,135MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757671.567314409,panther4_controller,46.00%,132.9MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757673.584791007,panther_controller,41.50%,137.2MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757673.584791007,panther2_controller,48.96%,134.2MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757673.584791007,panther3_controller,49.12%,133.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757673.584791007,panther4_controller,50.46%,133MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757675.601188350,panther_controller,36.83%,138.4MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757675.601188350,panther2_controller,51.51%,134.4MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757675.601188350,panther3_controller,51.93%,133.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757675.601188350,panther4_controller,50.35%,134.4MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757677.618327590,panther_controller,51.16%,138MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757677.618327590,panther2_controller,46.25%,135.1MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757677.618327590,panther3_controller,49.03%,134.5MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757677.618327590,panther4_controller,41.34%,135.5MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757679.635609255,panther_controller,50.40%,137.1MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757679.635609255,panther2_controller,36.07%,135.1MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757679.635609255,panther3_controller,51.65%,134.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757679.635609255,panther4_controller,65.09%,135.7MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757681.652659062,panther_controller,48.92%,137.3MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757681.652659062,panther2_controller,48.11%,135.8MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757681.652659062,panther3_controller,42.76%,134.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757681.652659062,panther4_controller,39.73%,136.3MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1787757683.672666556,panther_controller,52.54%,137.6MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757683.672666556,panther2_controller,49.44%,136.7MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757683.672666556,panther3_controller,44.37%,136.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757683.672666556,panther4_controller,50.09%,137.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757685.690048987,panther_controller,52.69%,137.6MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757685.690048987,panther2_controller,42.10%,134.6MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757685.690048987,panther3_controller,53.27%,137MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757685.690048987,panther4_controller,46.34%,137.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757687.706360128,panther_controller,48.34%,138MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757687.706360128,panther2_controller,54.39%,134.8MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757687.706360128,panther3_controller,46.57%,137MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757687.706360128,panther4_controller,53.55%,138.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757689.722715017,panther_controller,26.84%,137.7MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757689.722715017,panther2_controller,61.09%,134.8MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757689.722715017,panther3_controller,54.86%,137.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757689.722715017,panther4_controller,59.41%,137.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757691.740038903,panther_controller,46.83%,138.1MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757691.740038903,panther2_controller,54.47%,134.5MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757691.740038903,panther3_controller,42.33%,136.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757691.740038903,panther4_controller,56.37%,138.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757693.758225544,panther_controller,53.38%,137.9MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757693.758225544,panther2_controller,50.22%,135.4MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757693.758225544,panther3_controller,60.49%,137.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757693.758225544,panther4_controller,35.49%,138.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757695.775693920,panther_controller,53.22%,137.9MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757695.775693920,panther2_controller,36.42%,137.6MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757695.775693920,panther3_controller,55.92%,137.4MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757695.775693920,panther4_controller,56.29%,138.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757697.793826062,panther_controller,53.13%,138MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757697.793826062,panther2_controller,40.15%,143.1MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757697.793826062,panther3_controller,55.24%,137.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787757697.793826062,panther4_controller,41.52%,138.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787757699.815723405,panther_controller,50.22%,137.6MiB / 31.05GiB,0B / 0B,0B / 954kB,57
1787757699.815723405,panther2_controller,49.33%,137.9MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787757699.815723405,panther3_controller,44.26%,140MiB / 31.05GiB,0B / 0B,0B / 963kB,56
