wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m,panther4/cmd_vel_nav_hz,panther4/cmd_vel_nav_jitter_ms,panther4/amcl_pose_hz,panther4/amcl_pose_jitter_ms,panther4/plan_hz,panther4/plan_jitter_ms,panther4/local_costmap_hz,panther4/local_costmap_jitter_ms,panther4/velodyne_filtered_hz,panther4/velodyne_filtered_jitter_ms,panther4/path_length_m
1787757672.809,0.4,0.0,0.00,0.0,0.00,0.5,0.00,0.0,0.00,0.5,0.00,14.016,10.3,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000,0.0,0.00,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000,10.2,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787757676.966,4.5,9.6,67.24,0.7,0.00,1.0,0.00,0.5,0.00,2.1,10.64,13.493,10.1,21.77,0.5,0.00,1.0,0.00,0.5,0.00,2.2,7.60,22.428,7.7,134.93,0.5,0.00,1.0,0.00,0.0,0.00,2.1,8.28,22.204,9.6,47.30,0.5,0.00,1.0,0.00,0.0,0.00,2.1,1.08,22.256
1787757682.017,9.6,10.0,6.31,0.5,0.00,0.0,0.00,0.5,0.00,1.9,20.57,13.493,4.8,151.67,0.5,0.00,0.9,0.00,0.0,0.00,1.9,21.72,21.788,10.1,13.33,0.5,0.00,0.9,0.00,0.5,0.00,1.9,26.57,21.643,10.2,33.42,0.5,0.00,1.0,0.00,0.5,0.00,1.9,26.11,21.601
1787757686.598,14.2,9.2,70.46,0.5,0.00,0.0,0.00,0.5,0.00,2.3,50.11,13.493,9.9,29.74,0.8,0.00,0.9,0.00,0.0,0.00,2.3,40.09,21.122,9.3,51.38,0.5,0.00,0.9,0.00,0.5,0.00,2.3,59.80,20.999,10.2,26.22,0.5,0.00,0.9,0.00,0.5,0.00,2.3,57.84,20.995
1787757691.680,19.3,7.1,124.97,0.5,0.00,0.0,0.00,0.5,0.00,1.9,47.47,13.493,10.0,31.77,0.5,0.00,0.9,0.00,0.0,0.00,1.8,48.69,20.456,9.2,53.81,0.6,0.00,1.0,0.00,0.5,0.00,1.9,43.82,20.193,8.4,87.75,0.6,0.00,1.0,0.00,0.5,0.00,1.9,42.90,20.295
1787757696.371,24.0,10.1,21.08,0.5,0.00,0.0,0.00,0.5,0.00,2.0,73.04,13.493,9.8,21.35,0.5,0.00,1.0,0.00,0.5,0.00,2.1,82.89,19.982,10.0,7.55,0.5,0.00,0.9,0.00,0.5,0.00,2.1,89.44,19.680,7.5,84.63,0.5,0.00,1.0,0.00,0.5,0.00,2.0,81.52,19.645
1787757701.453,29.0,9.9,39.25,0.5,0.00,0.0,0.00,0.5,0.00,2.2,45.41,13.493,8.6,61.89,0.7,0.00,0.9,0.00,0.5,0.00,2.2,42.88,19.370,9.2,40.79,0.5,0.00,1.0,0.00,0.5,0.00,2.4,0.00,18.934,10.6,28.68,0.5,0.00,0.0,0.00,0.5,0.00,2.1,66.26,19.645
1787757706.466,34.0,8.2,86.71,0.5,0.00,0.0,0.00,0.5,0.00,1.8,155.37,13.493,10.3,32.72,0.5,0.00,1.0,0.00,0.5,0.00,1.8,153.75,18.784,10.0,19.24,0.5,0.00,1.0,0.00,0.5,0.00,1.8,153.68,18.375,10.4,53.78,0.6,0.00,0.0,0.00,0.5,0.00,1.9,157.38,19.645
1787757711.098,38.7,9.3,65.29,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,13.493,9.7,37.17,0.5,0.00,1.0,0.00,0.5,0.00,1.9,36.89,18.197,10.5,37.91,0.7,0.00,1.0,0.00,0.5,0.00,2.1,76.21,17.931,7.7,117.70,0.5,0.00,0.0,0.00,0.0,0.00,2.1,47.28,19.645
1787757716.143,43.7,9.1,52.57,0.5,0.00,0.0,0.00,0.5,0.00,1.9,138.64,13.493,9.6,59.28,0.6,0.00,1.0,0.00,0.5,0.00,1.9,158.61,17.474,8.9,76.64,0.5,0.00,1.0,0.00,0.5,0.00,0.6,0.00,17.287,9.9,41.39,0.5,0.00,0.0,0.00,0.0,0.00,0.6,0.00,19.645
