timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787749717.551002621,panther_controller,42.26%,79.88MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749718.589075330,panther_controller,42.91%,80.38MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749720.597302621,panther_controller,41.94%,80.54MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749722.603967390,panther_controller,41.42%,80.9MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749724.610014322,panther_controller,43.77%,81.07MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749726.616302599,panther_controller,40.91%,80.95MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749728.622303144,panther_controller,44.39%,81MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749730.627727759,panther_controller,44.35%,81.39MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749732.633103585,panther_controller,48.65%,81.51MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749734.638467493,panther_controller,51.16%,81.45MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749736.644296918,panther_controller,43.78%,81.8MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749738.649301755,panther_controller,47.22%,82.18MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749740.655019015,panther_controller,48.33%,82.17MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749742.660662651,panther_controller,45.76%,83.44MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749744.666324498,panther_controller,49.75%,82.36MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749746.673472687,panther_controller,44.53%,81.68MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749748.677440648,panther_controller,48.51%,81.86MiB / 31.05GiB,0B / 0B,0B / 954kB,55
1787749750.683728908,panther_controller,44.73%,81.98MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749752.689862265,panther_controller,40.86%,81.9MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749754.695033522,panther_controller,45.05%,82.51MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749756.701619220,panther_controller,40.30%,83.22MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749758.707323677,panther_controller,39.43%,83.55MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749760.713054458,panther_controller,43.41%,83.61MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749762.719107369,panther_controller,39.91%,83.38MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749764.725055853,panther_controller,41.78%,83.38MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749766.729760354,panther_controller,45.60%,83.82MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749768.736270467,panther_controller,39.33%,83.84MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749770.741809202,panther_controller,41.83%,84.22MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749772.747915830,panther_controller,41.75%,84.39MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749774.753749589,panther_controller,41.76%,84.05MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749776.760768570,panther_controller,42.54%,84.44MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749778.766655896,panther_controller,39.48%,84.53MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749780.772529494,panther_controller,46.73%,84.71MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749782.778401534,panther_controller,48.83%,85.34MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787749784.784197847,panther_controller,48.04%,85.08MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749786.789884021,panther_controller,48.50%,85.24MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749788.795017714,panther_controller,50.59%,85.49MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749790.801628837,panther_controller,47.49%,85.63MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749792.807604203,panther_controller,48.45%,85.79MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749794.813048512,panther_controller,47.38%,86.22MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749796.818672623,panther_controller,45.35%,86.21MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749798.824444718,panther_controller,50.81%,86.06MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749800.829119299,panther_controller,47.99%,86.21MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749802.834260185,panther_controller,50.75%,86.7MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749804.839801882,panther_controller,51.31%,86.82MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749806.846384401,panther_controller,49.72%,86.78MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749808.852313534,panther_controller,50.77%,86.76MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749810.858154514,panther_controller,48.30%,86.81MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787749812.864452742,panther_controller,48.29%,87MiB / 31.05GiB,0B / 0B,0B / 971kB,55
