wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749719.995,0.1,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787749720.893,1.0,10.2,4.70,2.4,0.00,0.5,0.00,0.5,0.00,8.9,15.27,9.912
1787749721.964,2.1,10.1,3.34,2.3,3.65,1.0,0.00,1.7,0.10,9.1,10.16,9.255
1787749723.094,3.2,10.0,0.28,2.4,49.39,1.0,0.00,1.7,0.33,9.0,10.67,8.618
1787749724.171,4.3,10.0,0.43,2.6,47.87,1.0,0.00,1.7,0.20,9.0,11.50,8.048
1787749725.257,5.4,10.0,0.70,2.5,48.38,1.0,0.00,1.7,0.11,9.2,7.66,7.416
1787749726.363,6.5,10.0,0.49,2.9,42.04,1.0,0.00,1.7,0.26,9.1,10.17,6.819
1787749727.437,7.5,10.0,0.21,3.0,13.89,1.0,0.00,1.7,0.31,9.2,10.20,6.296
1787749728.598,8.7,10.0,0.26,2.9,19.19,1.0,0.00,1.7,0.32,8.9,18.41,5.689
1787749729.710,9.8,10.0,0.25,2.9,19.00,1.0,0.00,1.7,0.10,8.7,20.20,5.151
1787749730.798,10.9,10.0,0.25,3.0,11.94,1.0,0.00,1.7,0.25,9.0,9.91,4.511
1787749731.903,12.0,10.0,0.29,2.8,42.93,1.0,0.00,1.7,0.22,9.1,5.00,3.864
1787749732.984,13.1,10.0,0.33,2.6,53.90,0.5,0.00,1.7,0.22,9.3,1.12,3.239
1787749734.099,14.2,10.0,0.41,3.0,6.83,1.0,0.00,1.7,1.60,9.1,5.63,1.775
1787749735.213,15.3,10.0,0.37,3.0,8.14,1.0,0.00,1.7,0.28,8.9,12.14,1.118
1787749736.336,16.4,10.0,0.49,2.8,42.09,1.0,0.00,1.7,0.74,9.1,11.08,0.474
1787749737.424,17.5,10.0,0.61,1.8,127.23,1.0,0.00,1.7,0.03,9.0,8.93,0.221
1787749738.511,18.6,10.0,0.56,1.4,54.38,1.0,0.00,1.7,1.99,9.2,0.99,0.171
1787749739.672,19.8,10.0,0.34,1.7,74.33,1.0,0.00,1.7,0.99,8.8,11.31,0.191
1787749740.790,20.9,10.0,0.43,3.1,100.98,1.0,0.00,1.4,98.03,8.7,14.22,0.191
1787749741.898,22.0,10.0,0.42,3.4,48.28,1.0,0.00,1.7,2.43,8.9,9.70,0.121
1787749742.989,23.1,10.0,0.42,2.8,41.79,1.0,0.00,1.7,1.60,9.1,3.49,0.121
1787749744.081,24.2,10.0,0.65,2.4,46.46,1.0,0.00,1.7,0.91,9.2,1.20,0.121
1787749745.235,25.3,10.7,22.75,2.4,110.00,1.6,406.55,1.7,0.70,8.8,14.78,24.448
1787749746.376,26.5,10.7,22.25,3.2,135.53,1.0,0.00,1.7,0.20,8.6,15.34,24.209
1787749747.506,27.6,10.0,0.72,2.7,93.51,1.0,0.00,1.7,1.88,8.7,7.95,23.676
1787749748.604,28.7,10.0,0.60,2.4,51.80,1.0,0.00,1.7,0.05,9.0,5.80,23.060
1787749749.706,29.8,10.0,0.37,2.8,48.37,0.5,0.00,1.7,0.10,9.1,1.11,22.374
1787749750.847,31.0,10.0,0.33,2.2,18.36,1.0,0.00,1.7,0.34,8.8,10.40,21.172
1787749751.993,32.1,10.0,0.33,2.2,16.50,1.0,0.00,1.7,0.51,8.7,12.03,20.606
1787749753.137,33.2,10.0,0.37,2.5,48.61,1.0,0.00,1.7,1.86,8.8,12.29,20.132
1787749754.242,34.4,10.0,0.44,2.8,47.18,1.0,0.00,1.7,2.01,9.1,1.65,19.777
1787749755.378,35.5,10.0,0.38,2.8,46.34,1.0,0.00,1.7,0.08,9.0,1.05,19.312
1787749756.523,36.6,10.0,0.31,2.9,12.30,1.0,0.00,1.7,0.07,8.7,10.26,18.694
1787749757.646,37.8,10.0,0.40,2.9,7.15,1.0,0.00,1.7,0.09,8.8,9.94,18.131
1787749758.768,38.9,10.0,0.23,3.0,7.62,1.0,0.00,1.7,0.49,8.9,7.60,17.581
