# started on Wed Sep  2 11:42:13 2026

#           time             counts   unit events
     1.000828557               7.05 Joules power/energy-pkg/                                                     
     1.000828557               2.43 Joules power/energy-cores/                                                   
     1.000828557               0.68 Joules power/energy-psys/                                                    
     2.001790084               7.85 Joules power/energy-pkg/                                                     
     2.001790084               3.71 Joules power/energy-cores/                                                   
     2.001790084               0.68 Joules power/energy-psys/                                                    
     3.003791263               5.84 Joules power/energy-pkg/                                                     
     3.003791263               2.05 Joules power/energy-cores/                                                   
     3.003791263               0.68 Joules power/energy-psys/                                                    
     4.005068760               5.12 Joules power/energy-pkg/                                                     
     4.005068760               1.30 Joules power/energy-cores/                                                   
     4.005068760               0.68 Joules power/energy-psys/                                                    
     5.005852541               5.02 Joules power/energy-pkg/                                                     
     5.005852541               1.27 Joules power/energy-cores/                                                   
     5.005852541               0.68 Joules power/energy-psys/                                                    
     6.007138521               5.10 Joules power/energy-pkg/                                                     
     6.007138521               1.32 Joules power/energy-cores/                                                   
     6.007138521               0.68 Joules power/energy-psys/                                                    
     7.008394706               5.02 Joules power/energy-pkg/                                                     
     7.008394706               1.35 Joules power/energy-cores/                                                   
     7.008394706               0.68 Joules power/energy-psys/                                                    
     8.009630117               5.07 Joules power/energy-pkg/                                                     
     8.009630117               1.27 Joules power/energy-cores/                                                   
     8.009630117               0.68 Joules power/energy-psys/                                                    
     9.010832633               5.15 Joules power/energy-pkg/                                                     
     9.010832633               1.33 Joules power/energy-cores/                                                   
     9.010832633               0.68 Joules power/energy-psys/                                                    
    10.012187365               5.12 Joules power/energy-pkg/                                                     
    10.012187365               1.25 Joules power/energy-cores/                                                   
    10.012187365               0.68 Joules power/energy-psys/                                                    
    11.012793464               5.16 Joules power/energy-pkg/                                                     
    11.012793464               1.30 Joules power/energy-cores/                                                   
    11.012793464               0.68 Joules power/energy-psys/                                                    
    12.013819045               5.33 Joules power/energy-pkg/                                                     
    12.013819045               1.52 Joules power/energy-cores/                                                   
    12.013819045               0.68 Joules power/energy-psys/                                                    
    13.014789137               5.25 Joules power/energy-pkg/                                                     
    13.014789137               1.35 Joules power/energy-cores/                                                   
    13.014789137               0.68 Joules power/energy-psys/                                                    
    14.017014047               5.14 Joules power/energy-pkg/                                                     
    14.017014047               1.34 Joules power/energy-cores/                                                   
    14.017014047               0.68 Joules power/energy-psys/                                                    
    15.017859322               4.97 Joules power/energy-pkg/                                                     
    15.017859322               1.30 Joules power/energy-cores/                                                   
    15.017859322               0.68 Joules power/energy-psys/                                                    
    16.019202206               4.77 Joules power/energy-pkg/                                                     
    16.019202206               1.23 Joules power/energy-cores/                                                   
    16.019202206               0.68 Joules power/energy-psys/                                                    
    17.019852779               4.95 Joules power/energy-pkg/                                                     
    17.019852779               1.27 Joules power/energy-cores/                                                   
    17.019852779               0.68 Joules power/energy-psys/                                                    
    18.020384150               5.17 Joules power/energy-pkg/                                                     
    18.020384150               1.37 Joules power/energy-cores/                                                   
    18.020384150               0.68 Joules power/energy-psys/                                                    
    19.021694800               4.99 Joules power/energy-pkg/                                                     
    19.021694800               1.31 Joules power/energy-cores/                                                   
    19.021694800               0.68 Joules power/energy-psys/                                                    
    20.023146833               4.90 Joules power/energy-pkg/                                                     
    20.023146833               1.31 Joules power/energy-cores/                                                   
    20.023146833               0.68 Joules power/energy-psys/                                                    
    21.024531813               4.89 Joules power/energy-pkg/                                                     
    21.024531813               1.27 Joules power/energy-cores/                                                   
    21.024531813               0.68 Joules power/energy-psys/                                                    
    22.025845754               5.44 Joules power/energy-pkg/                                                     
    22.025845754               1.34 Joules power/energy-cores/                                                   
    22.025845754               0.68 Joules power/energy-psys/                                                    
    23.027236735               5.16 Joules power/energy-pkg/                                                     
    23.027236735               1.35 Joules power/energy-cores/                                                   
    23.027236735               0.68 Joules power/energy-psys/                                                    
    24.028606841               5.31 Joules power/energy-pkg/                                                     
    24.028606841               1.36 Joules power/energy-cores/                                                   
    24.028606841               0.68 Joules power/energy-psys/                                                    
    25.029894796               5.42 Joules power/energy-pkg/                                                     
    25.029894796               1.31 Joules power/energy-cores/                                                   
    25.029894796               0.68 Joules power/energy-psys/                                                    
    26.030862229               4.98 Joules power/energy-pkg/                                                     
    26.030862229               1.28 Joules power/energy-cores/                                                   
    26.030862229               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    27.032192937               5.02 Joules power/energy-pkg/                                                     
    27.032192937               1.27 Joules power/energy-cores/                                                   
    27.032192937               0.68 Joules power/energy-psys/                                                    
    28.033989537               5.40 Joules power/energy-pkg/                                                     
    28.033989537               1.44 Joules power/energy-cores/                                                   
    28.033989537               0.68 Joules power/energy-psys/                                                    
    29.035654774               5.22 Joules power/energy-pkg/                                                     
    29.035654774               1.36 Joules power/energy-cores/                                                   
    29.035654774               0.68 Joules power/energy-psys/                                                    
    30.037114871               5.12 Joules power/energy-pkg/                                                     
    30.037114871               1.31 Joules power/energy-cores/                                                   
    30.037114871               0.68 Joules power/energy-psys/                                                    
    31.038549862               4.87 Joules power/energy-pkg/                                                     
    31.038549862               1.28 Joules power/energy-cores/                                                   
    31.038549862               0.68 Joules power/energy-psys/                                                    
    32.040070812               4.85 Joules power/energy-pkg/                                                     
    32.040070812               1.26 Joules power/energy-cores/                                                   
    32.040070812               0.68 Joules power/energy-psys/                                                    
    33.041535093               4.99 Joules power/energy-pkg/                                                     
    33.041535093               1.30 Joules power/energy-cores/                                                   
    33.041535093               0.68 Joules power/energy-psys/                                                    
    34.042803173               5.20 Joules power/energy-pkg/                                                     
    34.042803173               1.38 Joules power/energy-cores/                                                   
    34.042803173               0.68 Joules power/energy-psys/                                                    
    35.044082568               4.99 Joules power/energy-pkg/                                                     
    35.044082568               1.37 Joules power/energy-cores/                                                   
    35.044082568               0.68 Joules power/energy-psys/                                                    
    36.048107017               5.19 Joules power/energy-pkg/                                                     
    36.048107017               1.37 Joules power/energy-cores/                                                   
    36.048107017               0.68 Joules power/energy-psys/                                                    
    37.050080407               4.78 Joules power/energy-pkg/                                                     
    37.050080407               1.26 Joules power/energy-cores/                                                   
    37.050080407               0.68 Joules power/energy-psys/                                                    
    38.052134647               5.17 Joules power/energy-pkg/                                                     
    38.052134647               1.32 Joules power/energy-cores/                                                   
    38.052134647               0.68 Joules power/energy-psys/                                                    
    39.053478135               5.02 Joules power/energy-pkg/                                                     
    39.053478135               1.31 Joules power/energy-cores/                                                   
    39.053478135               0.68 Joules power/energy-psys/                                                    
    40.054792633               5.17 Joules power/energy-pkg/                                                     
    40.054792633               1.36 Joules power/energy-cores/                                                   
    40.054792633               0.68 Joules power/energy-psys/                                                    
    41.055795090               5.03 Joules power/energy-pkg/                                                     
    41.055795090               1.27 Joules power/energy-cores/                                                   
    41.055795090               0.68 Joules power/energy-psys/                                                    
    42.057302889               5.04 Joules power/energy-pkg/                                                     
    42.057302889               1.30 Joules power/energy-cores/                                                   
    42.057302889               0.68 Joules power/energy-psys/                                                    
    43.058796351               5.12 Joules power/energy-pkg/                                                     
    43.058796351               1.28 Joules power/energy-cores/                                                   
    43.058796351               0.68 Joules power/energy-psys/                                                    
    44.059933160               5.29 Joules power/energy-pkg/                                                     
    44.059933160               1.42 Joules power/energy-cores/                                                   
    44.059933160               0.68 Joules power/energy-psys/                                                    
    45.060857246               5.26 Joules power/energy-pkg/                                                     
    45.060857246               1.35 Joules power/energy-cores/                                                   
    45.060857246               0.68 Joules power/energy-psys/                                                    
    46.062313643               5.29 Joules power/energy-pkg/                                                     
    46.062313643               1.35 Joules power/energy-cores/                                                   
    46.062313643               0.68 Joules power/energy-psys/                                                    
    47.063781095               4.99 Joules power/energy-pkg/                                                     
    47.063781095               1.28 Joules power/energy-cores/                                                   
    47.063781095               0.68 Joules power/energy-psys/                                                    
    48.065221093               5.04 Joules power/energy-pkg/                                                     
    48.065221093               1.27 Joules power/energy-cores/                                                   
    48.065221093               0.68 Joules power/energy-psys/                                                    
    49.066748672               5.02 Joules power/energy-pkg/                                                     
    49.066748672               1.26 Joules power/energy-cores/                                                   
    49.066748672               0.68 Joules power/energy-psys/                                                    
    50.068258425               5.21 Joules power/energy-pkg/                                                     
    50.068258425               1.32 Joules power/energy-cores/                                                   
    50.068258425               0.68 Joules power/energy-psys/                                                    
    51.068873912               5.06 Joules power/energy-pkg/                                                     
    51.068873912               1.31 Joules power/energy-cores/                                                   
    51.068873912               0.68 Joules power/energy-psys/                                                    
    52.070398808               5.26 Joules power/energy-pkg/                                                     
    52.070398808               1.36 Joules power/energy-cores/                                                   
    52.070398808               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    53.071857151               5.05 Joules power/energy-pkg/                                                     
    53.071857151               1.22 Joules power/energy-cores/                                                   
    53.071857151               0.68 Joules power/energy-psys/                                                    
    54.073349909               5.13 Joules power/energy-pkg/                                                     
    54.073349909               1.27 Joules power/energy-cores/                                                   
    54.073349909               0.68 Joules power/energy-psys/                                                    
    55.073850712               5.14 Joules power/energy-pkg/                                                     
    55.073850712               1.29 Joules power/energy-cores/                                                   
    55.073850712               0.68 Joules power/energy-psys/                                                    
    56.075289072               5.15 Joules power/energy-pkg/                                                     
    56.075289072               1.32 Joules power/energy-cores/                                                   
    56.075289072               0.68 Joules power/energy-psys/                                                    
    57.076759664               5.18 Joules power/energy-pkg/                                                     
    57.076759664               1.28 Joules power/energy-cores/                                                   
    57.076759664               0.68 Joules power/energy-psys/                                                    
    58.077915894               5.12 Joules power/energy-pkg/                                                     
    58.077915894               1.26 Joules power/energy-cores/                                                   
    58.077915894               0.68 Joules power/energy-psys/                                                    
    59.079225561               5.06 Joules power/energy-pkg/                                                     
    59.079225561               1.22 Joules power/energy-cores/                                                   
    59.079225561               0.68 Joules power/energy-psys/                                                    
    60.080846236               5.26 Joules power/energy-pkg/                                                     
    60.080846236               1.44 Joules power/energy-cores/                                                   
    60.080846236               0.68 Joules power/energy-psys/                                                    
    61.082444992               5.04 Joules power/energy-pkg/                                                     
    61.082444992               1.34 Joules power/energy-cores/                                                   
    61.082444992               0.68 Joules power/energy-psys/                                                    
    62.083796466               5.16 Joules power/energy-pkg/                                                     
    62.083796466               1.38 Joules power/energy-cores/                                                   
    62.083796466               0.68 Joules power/energy-psys/                                                    
    63.084794511               4.88 Joules power/energy-pkg/                                                     
    63.084794511               1.28 Joules power/energy-cores/                                                   
    63.084794511               0.68 Joules power/energy-psys/                                                    
    64.086402274               5.03 Joules power/energy-pkg/                                                     
    64.086402274               1.25 Joules power/energy-cores/                                                   
    64.086402274               0.68 Joules power/energy-psys/                                                    
    65.087934392               5.10 Joules power/energy-pkg/                                                     
