wall_time,namespace,status,duration_wall_s,duration_sim_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1788342153.9760923,panther,SUCCEEDED,17.706,16.16,0.071,0,0,0,0
1788342201.982153,panther,SUCCEEDED,48.001,42.52,0.05,0,0,0,0
1788342260.667281,panther,SUCCEEDED,58.681,49.44,0.0,0,0,0,0
1788342294.847969,panther,SUCCEEDED,34.171,27.476,0.071,0,0,0,0
1788342346.2440472,panther,SUCCEEDED,51.391,39.796,0.05,0,0,0,0
1788342400.2062194,panther,SUCCEEDED,53.961,39.908,0.0,0,0,0,0
1788342460.293279,panther,SUCCEEDED,60.081,42.484,0.1,0,0,0,0
1788342530.077884,panther,SUCCEEDED,69.78,47.168,0.05,0,0,0,0
1788342571.3559225,panther,SUCCEEDED,41.271,27.352,0.0,0,0,0,0
1788342631.2316186,panther,SUCCEEDED,59.871,38.632,0.121,0,0,0,0
