wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m
1788342136.254,126.968,0.1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000
1788342136.284,127.000,0.1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000
1788342137.368,128.000,1.2,10.02,1.21,10.78,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.80,0.00,4.62,1.77,5.00,0.00,0.000
1788342138.451,129.000,2.3,10.01,0.96,10.82,2.73,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,1.67,1.50,1.81,2.00,4.62,1.22,5.00,0.00,6.896
1788342139.539,130.000,3.4,10.00,0.89,10.89,1.94,2.34,0.00,2.50,0.00,0.96,0.00,1.04,0.00,1.67,0.42,1.81,3.27,4.61,1.51,5.00,0.00,6.246
1788342140.645,131.000,4.5,10.01,0.83,11.03,2.57,2.27,8.95,2.50,0.00,0.97,0.00,1.04,2.00,1.67,0.25,1.83,6.80,4.55,3.69,5.00,0.00,5.646
1788342141.740,132.000,5.6,10.00,0.91,11.01,3.30,2.28,6.93,2.50,0.00,0.97,0.00,1.07,14.00,1.67,0.38,1.84,6.80,4.54,3.74,5.00,0.00,4.326
1788342142.828,133.000,6.7,10.01,0.85,10.94,2.56,2.27,7.34,2.50,0.00,0.98,0.00,1.06,6.00,1.67,0.52,1.82,6.53,4.58,2.02,5.00,0.00,3.764
1788342143.916,134.000,7.8,10.00,0.87,10.89,4.00,2.86,108.34,3.12,97.98,0.97,0.00,1.06,6.00,1.67,0.33,1.81,3.77,4.59,0.73,5.00,0.00,3.014
1788342145.007,135.000,8.9,9.99,0.84,10.87,3.90,4.11,72.08,4.44,66.14,0.98,0.00,1.05,0.00,1.66,0.92,1.81,3.77,4.59,0.77,5.00,0.00,2.255
