wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787411969.134,0.1,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,0.5,0.00,0.000
1787411970.329,1.3,10.0,1.78,2.4,11.93,0.5,0.00,2.3,369.92,7.3,9.42,4.578
1787411971.711,2.7,10.0,0.99,2.4,16.67,1.0,0.00,1.2,0.07,7.1,10.11,3.637
1787411973.052,4.0,10.0,0.79,2.7,69.73,1.0,0.00,1.3,0.00,7.5,10.77,3.085
1787411974.367,5.3,10.0,0.50,2.9,64.63,1.0,0.00,1.2,2.28,7.6,7.62,2.385
1787411975.729,6.7,10.0,1.05,2.5,18.10,1.0,0.00,1.3,0.69,7.5,14.52,1.886
1787411977.104,8.1,10.0,0.91,2.4,16.09,1.0,0.00,1.3,0.00,7.3,19.42,0.694
1787411978.439,9.4,10.0,0.48,2.1,32.39,1.0,0.00,1.2,0.00,7.4,16.36,0.191
1787411979.778,10.8,10.0,0.73,2.8,127.36,1.0,0.00,1.3,0.96,7.5,5.13,0.000
1787411981.122,12.1,10.0,1.41,4.9,77.15,1.0,0.00,1.3,0.00,7.5,12.53,0.000
1787411982.555,13.5,10.0,0.83,3.2,49.58,1.0,0.00,1.2,0.00,7.1,24.15,0.000
1787411983.894,14.9,10.6,21.95,3.1,142.01,1.1,127.36,1.2,0.81,7.6,15.88,23.635
1787411985.206,16.2,10.0,1.26,4.1,47.22,1.0,0.00,1.3,0.09,7.6,8.03,23.346
1787411986.558,17.5,10.0,0.94,2.7,63.54,1.0,0.00,1.2,0.00,7.4,11.30,22.828
1787411987.989,19.0,10.0,1.09,1.9,34.10,1.0,0.00,1.2,1.70,7.1,18.87,21.881
1787411989.386,20.4,10.0,0.46,2.4,18.65,1.0,0.00,1.3,2.43,7.1,13.04,21.559
