timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787506218.373562304,panther_controller,39.33%,79.28MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506219.411356977,panther_controller,41.22%,80.34MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506221.419338298,panther_controller,39.33%,80.37MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506223.425481892,panther_controller,41.38%,80.7MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506225.430896983,panther_controller,40.07%,81.93MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506227.436692776,panther_controller,42.78%,82.16MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506229.443543906,panther_controller,42.06%,82.41MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506231.449500480,panther_controller,40.06%,82.59MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506233.456197840,panther_controller,39.15%,81.61MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506235.461974213,panther_controller,35.12%,81.93MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506237.467212867,panther_controller,37.49%,82.08MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506239.472411736,panther_controller,38.14%,81.1MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506241.477885188,panther_controller,35.76%,81.18MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506243.482520238,panther_controller,36.54%,81.3MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506245.489132624,panther_controller,38.94%,81.22MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506247.494060342,panther_controller,35.75%,81.52MiB / 31.05GiB,0B / 0B,0B / 954kB,56
1787506249.499068733,panther_controller,36.55%,81.55MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506251.505252696,panther_controller,36.12%,81.43MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506253.510772421,panther_controller,35.98%,81.47MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506255.516688251,panther_controller,36.57%,81.5MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506257.523124175,panther_controller,36.57%,81.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506259.528339147,panther_controller,37.18%,81.77MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506261.534353625,panther_controller,39.00%,82.1MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506263.539723597,panther_controller,40.58%,81.93MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506265.546885955,panther_controller,41.74%,82.05MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506267.552598292,panther_controller,42.25%,82.14MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506269.558788458,panther_controller,40.37%,82.32MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506271.565024204,panther_controller,39.50%,82.18MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506273.570533236,panther_controller,42.70%,82.25MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506275.576079090,panther_controller,40.64%,82.54MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506277.580953759,panther_controller,40.97%,82.5MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506279.587525619,panther_controller,41.19%,82.37MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506281.593807595,panther_controller,42.71%,82.77MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506283.600111989,panther_controller,43.02%,82.91MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787506285.606239097,panther_controller,40.21%,82.95MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506287.614353756,panther_controller,41.33%,83.21MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506289.617705886,panther_controller,43.48%,83.18MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506291.623349616,panther_controller,40.49%,83.25MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506293.628086895,panther_controller,41.87%,83.32MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506295.633758339,panther_controller,40.95%,83.36MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506297.639498398,panther_controller,41.27%,83.45MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506299.644708560,panther_controller,41.40%,83.39MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506301.650331888,panther_controller,38.40%,83.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506303.655254673,panther_controller,39.41%,83.56MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506305.661297129,panther_controller,39.58%,83.86MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506307.666210487,panther_controller,38.39%,83.59MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506309.672288424,panther_controller,39.96%,83.78MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506311.678014625,panther_controller,41.44%,83.76MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506313.684802942,panther_controller,43.16%,83.77MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506315.690361408,panther_controller,39.37%,83.97MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506317.696306155,panther_controller,38.49%,84.07MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787506319.701763421,panther_controller,39.44%,83.9MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506321.707100687,panther_controller,39.84%,84.05MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506323.713477033,panther_controller,37.80%,84.39MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506325.719395239,panther_controller,39.64%,84.17MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506327.724505130,panther_controller,37.90%,84.23MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506329.730294774,panther_controller,38.95%,84.44MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506331.735725162,panther_controller,38.80%,84.45MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506333.742036692,panther_controller,37.99%,85.38MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506335.746498407,panther_controller,39.73%,85.46MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506337.752349635,panther_controller,40.90%,85.64MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506339.758894393,panther_controller,38.52%,85.56MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506341.764550851,panther_controller,39.09%,85.63MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506343.770600253,panther_controller,38.64%,85.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506345.776504438,panther_controller,38.06%,85.51MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506347.781881998,panther_controller,37.27%,85.73MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506349.787954598,panther_controller,37.89%,85.61MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506351.793165148,panther_controller,38.11%,85.7MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506353.798869515,panther_controller,38.05%,85.85MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787506355.804899845,panther_controller,37.19%,85.96MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506357.810568105,panther_controller,37.58%,86.04MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506359.817118942,panther_controller,36.74%,85.94MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506361.822552193,panther_controller,39.17%,86.05MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506363.828520558,panther_controller,39.31%,86.26MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506365.836520953,panther_controller,39.18%,86.27MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506367.840964310,panther_controller,38.42%,86.35MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506369.846463828,panther_controller,38.23%,86.43MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506371.853277242,panther_controller,36.44%,86.75MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506373.858614318,panther_controller,38.43%,86.45MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506375.864225093,panther_controller,39.93%,86.74MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506377.870904363,panther_controller,39.26%,86.69MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506379.876280506,panther_controller,38.49%,86.65MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506381.882227268,panther_controller,37.97%,86.6MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506383.887865674,panther_controller,40.59%,86.95MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506385.894586883,panther_controller,40.36%,87.14MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506387.901116256,panther_controller,39.34%,86.99MiB / 31.05GiB,0B / 0B,0B / 983kB,56
1787506389.907590986,panther_controller,38.48%,87.13MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506391.912819892,panther_controller,39.32%,87.5MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506393.917524170,panther_controller,39.97%,87.4MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506395.923725326,panther_controller,43.11%,87.57MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506397.929335214,panther_controller,43.78%,87.63MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506399.935081632,panther_controller,45.10%,87.53MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506401.941535583,panther_controller,43.02%,87.79MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506403.947012154,panther_controller,39.15%,87.41MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506405.953328888,panther_controller,39.25%,87.59MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506407.959241730,panther_controller,38.27%,87.72MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506409.964744526,panther_controller,38.59%,87.5MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506411.971010737,panther_controller,38.19%,87.97MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506413.977038741,panther_controller,37.28%,87.85MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506415.982813618,panther_controller,37.79%,88.02MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506417.988554742,panther_controller,37.65%,88.18MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506419.994621402,panther_controller,35.79%,88.01MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506422.000029701,panther_controller,33.90%,88.09MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506424.005824024,panther_controller,33.45%,88.13MiB / 31.05GiB,0B / 0B,0B / 991kB,56
1787506426.011121057,panther_controller,32.05%,88.36MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506428.016592654,panther_controller,35.32%,88.27MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506430.022529374,panther_controller,36.65%,88.46MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506432.028343511,panther_controller,39.15%,88.21MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506434.034468884,panther_controller,38.77%,88.43MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506436.040337378,panther_controller,37.02%,88.5MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506438.045821557,panther_controller,38.62%,88.44MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506440.050895021,panther_controller,38.89%,88.49MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506442.057244111,panther_controller,36.04%,88.38MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506444.063937315,panther_controller,31.84%,88.57MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506446.070325755,panther_controller,33.37%,88.39MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506448.076155741,panther_controller,33.83%,88.39MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506450.082219035,panther_controller,33.14%,88.22MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506452.087556117,panther_controller,32.92%,88.59MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506454.093787482,panther_controller,31.25%,88.5MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506456.100151122,panther_controller,33.27%,88.69MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506458.105552706,panther_controller,33.82%,88.47MiB / 31.05GiB,0B / 0B,0B / 995kB,56
1787506460.113414981,panther_controller,32.55%,88.53MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506462.119390398,panther_controller,33.12%,88.57MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506464.124576858,panther_controller,40.74%,88.49MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506466.130517147,panther_controller,39.72%,88.42MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506468.135790748,panther_controller,40.26%,88.55MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506470.140028577,panther_controller,36.89%,88.39MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506472.146188232,panther_controller,37.29%,88.41MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506474.153363769,panther_controller,36.92%,88.61MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506476.159015520,panther_controller,36.22%,88.68MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506478.166195125,panther_controller,37.55%,88.86MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506480.172342051,panther_controller,38.04%,88.68MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506482.178098408,panther_controller,35.81%,88.8MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506484.184304842,panther_controller,34.62%,88.93MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506486.189501053,panther_controller,31.93%,89.15MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506488.195672495,panther_controller,32.74%,89.02MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506490.201337384,panther_controller,34.86%,89.2MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506492.207409909,panther_controller,33.14%,89.17MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506494.212264808,panther_controller,33.18%,89.27MiB / 31.05GiB,0B / 0B,0B / 1MB,56
1787506496.218207328,panther_controller,32.77%,88.97MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506498.223132319,panther_controller,32.34%,89.08MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506500.229563752,panther_controller,32.14%,89.29MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506502.234223720,panther_controller,33.12%,89.12MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506504.239962948,panther_controller,31.78%,89.08MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506506.245294201,panther_controller,33.43%,89.11MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506508.251039942,panther_controller,33.15%,89.11MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506510.256101314,panther_controller,33.71%,89.23MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506512.262076688,panther_controller,33.78%,89.08MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506514.268366999,panther_controller,33.05%,89.2MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506516.272818336,panther_controller,30.30%,89.36MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506518.278946776,panther_controller,32.24%,89.1MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506520.285134124,panther_controller,33.54%,89.13MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506522.290749691,panther_controller,34.29%,88.98MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506524.296527845,panther_controller,36.68%,89.18MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506526.302812191,panther_controller,36.88%,89.26MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506528.309054232,panther_controller,38.44%,89.13MiB / 31.05GiB,0B / 0B,0B / 1.01MB,56
1787506530.314628780,panther_controller,36.60%,89.01MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506532.320704327,panther_controller,35.41%,89.16MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506534.326974309,panther_controller,37.39%,89.09MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506536.332730763,panther_controller,35.96%,89MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506538.337924232,panther_controller,37.14%,89.07MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506540.343566823,panther_controller,37.71%,89.16MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506542.349011902,panther_controller,34.65%,89.17MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506544.355010866,panther_controller,36.84%,89.01MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506546.360495653,panther_controller,37.21%,89.14MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506548.366382928,panther_controller,36.46%,89.04MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506550.372229756,panther_controller,36.02%,89.05MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506552.378922656,panther_controller,37.83%,88.83MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506554.385721183,panther_controller,36.59%,89.1MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506556.390136176,panther_controller,38.31%,89.09MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506558.395924581,panther_controller,37.36%,89.2MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506560.400861060,panther_controller,37.65%,89.39MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506562.407005469,panther_controller,37.00%,89.16MiB / 31.05GiB,0B / 0B,0B / 1.02MB,56
1787506564.412678906,panther_controller,35.76%,89.35MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506566.418739929,panther_controller,36.18%,89.26MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506568.424781594,panther_controller,36.92%,89.41MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506570.430704406,panther_controller,35.80%,89.48MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506572.436388306,panther_controller,34.08%,89.44MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506574.441629188,panther_controller,33.87%,89.26MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506576.446954987,panther_controller,33.86%,89.19MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506578.452787536,panther_controller,32.61%,89.32MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506580.459741627,panther_controller,32.68%,89.35MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506582.465646839,panther_controller,33.26%,89.47MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506584.471708172,panther_controller,37.89%,89.56MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506586.477212981,panther_controller,37.54%,89.38MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506588.483280904,panther_controller,36.56%,89.51MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506590.488258480,panther_controller,35.58%,89.48MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506592.495060642,panther_controller,36.29%,89.71MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506594.501524472,panther_controller,34.40%,89.56MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506596.507541047,panther_controller,34.99%,89.64MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506598.513018856,panther_controller,34.59%,89.81MiB / 31.05GiB,0B / 0B,0B / 1.03MB,56
1787506600.518169291,panther_controller,35.57%,89.38MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506602.523983212,panther_controller,35.95%,89.93MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506604.529582561,panther_controller,34.87%,89.91MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506606.535293989,panther_controller,34.71%,90.06MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506608.541828954,panther_controller,35.02%,90.14MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506610.547332553,panther_controller,34.49%,90.31MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506612.553503903,panther_controller,35.65%,90.24MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506614.559283368,panther_controller,35.96%,90.29MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
1787506616.565098849,panther_controller,34.47%,90.34MiB / 31.05GiB,0B / 0B,0B / 1.04MB,56
