timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787756968.463180780,panther_controller,45.48%,117.8MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756968.463180780,panther2_controller,39.98%,117MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756968.463180780,panther3_controller,45.47%,118.5MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756970.520989688,panther_controller,48.77%,118.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756970.520989688,panther2_controller,39.89%,118MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756970.520989688,panther3_controller,45.34%,119.2MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756972.534841022,panther_controller,50.23%,118.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756972.534841022,panther2_controller,46.52%,117.8MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756972.534841022,panther3_controller,49.92%,119MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756974.547586614,panther_controller,48.33%,118.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756974.547586614,panther2_controller,41.23%,117.8MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756974.547586614,panther3_controller,44.95%,118.8MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756976.561751635,panther_controller,45.06%,118.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756976.561751635,panther2_controller,42.96%,117.7MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756976.561751635,panther3_controller,44.88%,119.3MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756978.574696278,panther_controller,47.43%,118.5MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756978.574696278,panther2_controller,47.86%,117.7MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
1787756978.574696278,panther3_controller,50.27%,119.1MiB / 31.05GiB,0B / 0B,0B / 971kB,56
1787756980.590305492,panther_controller,44.02%,118.3MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787756980.590305492,panther2_controller,44.45%,117.9MiB / 31.05GiB,0B / 0B,242kB / 971kB,55
