wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787756984.5835328,panther,SUCCEEDED,13.317,0.071,0,0,0,0
1787757006.646499,panther3,SUCCEEDED,35.378,0.0,0,0,0,0
1787757006.7438548,panther2,SUCCEEDED,35.476,0.0,0,0,0,0
1787757077.2838798,panther,SUCCEEDED,92.672,0.0,0,0,0,0
1787757106.0386622,panther2,SUCCEEDED,99.192,0.0,0,0,0,0
1787757107.2301135,panther3,SUCCEEDED,100.475,0.121,0,0,0,0
1787757182.5829825,panther,SUCCEEDED,105.194,0.1,0,0,0,0
1787757220.5268,panther2,SUCCEEDED,114.467,0.05,0,0,0,0
1787757237.7390583,panther3,SUCCEEDED,130.471,0.05,0,0,0,0
1787757301.282165,panther,SUCCEEDED,118.667,0.1,0,0,0,0
1787757320.1887352,panther3,SUCCEEDED,82.373,0.071,0,0,0,0
1787757365.6795783,panther2,SUCCEEDED,145.085,0.0,0,0,0,0
1787757447.5148156,panther3,SUCCEEDED,127.295,0.0,0,0,0,0
1787757456.3469884,panther,SUCCEEDED,155.013,0.0,0,0,0,0
1787757459.0715358,panther2,SUCCEEDED,93.375,0.071,0,0,0,0
