wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m
1787756971.270,0.2,0.5,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,0.000,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787756973.462,2.3,9.7,33.63,0.7,0.00,1.0,0.00,0.5,0.00,2.9,72.07,0.504,10.0,23.97,0.9,0.00,0.5,0.00,0.5,0.00,3.0,91.49,8.542,10.0,5.66,0.9,0.00,1.0,0.00,0.5,0.00,3.0,68.84,7.767
1787756975.584,4.5,10.0,17.67,1.3,0.00,1.0,0.00,0.5,0.00,5.0,41.76,0.241,9.9,12.36,1.7,10.85,1.0,0.00,1.0,0.00,5.1,41.14,7.621,10.0,4.75,1.7,9.22,1.0,0.00,1.0,0.00,5.1,40.30,7.294
1787756977.266,6.2,10.0,8.98,0.5,0.00,1.0,0.00,1.0,0.00,5.7,25.90,0.121,10.0,6.24,2.6,83.72,1.0,0.00,1.0,0.00,5.7,27.62,7.221,10.0,3.96,2.3,87.04,1.0,0.00,1.0,0.00,5.7,27.50,6.446
1787756980.222,9.1,10.0,25.93,2.0,173.47,1.0,0.00,0.5,0.00,3.3,51.67,0.050,10.0,16.36,1.2,0.00,1.0,0.00,0.5,0.00,3.3,50.14,6.262,10.0,28.74,1.2,0.00,1.0,0.00,0.5,0.00,3.3,50.08,5.615
1787756982.147,11.0,10.0,4.21,4.0,71.04,1.0,0.00,1.0,0.00,5.1,42.66,0.000,10.0,15.13,1.8,54.19,1.0,0.00,0.8,0.00,5.1,42.16,5.552,10.0,2.61,1.8,39.43,1.0,0.00,1.0,0.00,5.1,41.46,4.920
1787756984.033,12.9,10.0,3.61,2.6,53.07,1.0,0.00,0.8,0.00,5.4,28.82,0.071,10.0,13.13,1.7,61.67,1.0,0.00,1.0,0.00,5.3,27.70,4.744,10.0,3.55,1.8,55.53,1.0,0.00,0.8,0.00,5.4,28.19,4.213
1787756987.019,15.9,10.0,10.78,2.2,72.72,1.0,0.00,0.5,0.00,3.6,86.36,24.221,10.0,19.20,1.2,110.44,1.0,0.00,0.5,0.00,3.6,84.52,4.044,10.0,18.73,1.4,0.00,1.0,0.00,0.5,0.00,3.6,85.42,3.506
1787756988.728,17.6,10.0,5.22,1.8,44.47,1.0,0.00,1.0,0.00,5.6,31.99,23.988,10.0,24.07,1.9,38.18,1.0,0.00,0.5,0.00,5.6,27.84,3.708,10.0,3.44,2.5,106.47,1.0,0.00,1.0,0.00,5.6,30.07,3.056
1787756991.231,20.1,10.0,3.54,1.5,0.00,1.0,0.00,0.8,0.00,4.1,75.48,22.828,10.1,9.21,2.2,64.08,1.0,0.00,0.5,0.00,4.1,70.29,2.600,10.0,10.81,1.5,0.00,1.0,0.00,0.5,0.00,4.1,74.90,1.914
1787756993.720,22.6,10.0,21.39,1.0,0.00,1.0,0.00,0.7,0.00,4.4,65.28,22.283,10.0,7.03,1.4,133.91,1.0,0.00,0.5,0.00,4.4,66.09,2.039,10.0,9.51,1.4,132.77,1.0,0.00,0.7,0.00,4.4,65.55,1.344
1787756995.650,24.5,10.0,8.31,1.5,165.34,1.0,0.00,0.5,0.00,5.2,31.32,21.505,9.9,6.05,1.7,17.80,1.0,0.00,0.8,0.00,5.2,31.84,1.212,10.0,4.01,1.4,115.06,1.0,0.00,0.5,0.00,5.2,31.62,0.524
