timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1788355424.817425990,panther_controller,32.81%,125.6MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355424.817425990,panther2_controller,25.09%,123.8MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355424.817425990,panther3_controller,23.57%,125.6MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355426.872135530,panther_controller,36.41%,127.3MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355426.872135530,panther2_controller,32.11%,124.9MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355426.872135530,panther3_controller,29.12%,126.3MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355428.883715031,panther_controller,29.72%,127MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355428.883715031,panther2_controller,31.84%,125MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355428.883715031,panther3_controller,26.29%,126.8MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355430.898437641,panther_controller,31.80%,127.5MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355430.898437641,panther2_controller,32.72%,124MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355430.898437641,panther3_controller,29.89%,126MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355432.911652705,panther_controller,32.06%,127MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355432.911652705,panther2_controller,33.21%,124.4MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355432.911652705,panther3_controller,28.45%,126.4MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355434.926319776,panther_controller,30.76%,126.8MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355434.926319776,panther2_controller,30.72%,124.1MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355434.926319776,panther3_controller,26.41%,125.9MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355436.941348474,panther_controller,32.56%,127.3MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355436.941348474,panther2_controller,32.05%,124.2MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355436.941348474,panther3_controller,27.15%,125.8MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355438.956808185,panther_controller,30.73%,127.3MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355438.956808185,panther2_controller,30.03%,124.5MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355438.956808185,panther3_controller,27.09%,126.1MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355440.970157139,panther_controller,23.62%,127.2MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355440.970157139,panther2_controller,22.25%,124MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355440.970157139,panther3_controller,20.64%,126.3MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355442.983495185,panther_controller,30.26%,127.2MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355442.983495185,panther2_controller,29.51%,124.9MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355442.983495185,panther3_controller,25.31%,126.3MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355444.997894011,panther_controller,28.92%,127.6MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355444.997894011,panther2_controller,30.52%,125.4MiB / 31.05GiB,0B / 0B,0B / 991kB,55
1788355444.997894011,panther3_controller,24.28%,126.2MiB / 31.05GiB,0B / 0B,0B / 995kB,55
1788355447.010441997,panther_controller,25.75%,127.4MiB / 31.05GiB,0B / 0B,0B / 987kB,56
1788355447.010441997,panther2_controller,26.49%,125.1MiB / 31.05GiB,0B / 0B,0B / 991kB,55
