# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
     1.001095073               8.62 Joules power/energy-pkg/                                                     
     1.001095073               3.85 Joules power/energy-cores/                                                   
     1.001095073               0.68 Joules power/energy-psys/                                                    
     2.002266814               8.63 Joules power/energy-pkg/                                                     
     2.002266814               4.13 Joules power/energy-cores/                                                   
     2.002266814               0.68 Joules power/energy-psys/                                                    
     3.003476537               8.98 Joules power/energy-pkg/                                                     
     3.003476537               4.73 Joules power/energy-cores/                                                   
     3.003476537               0.68 Joules power/energy-psys/                                                    
     4.004402629               7.31 Joules power/energy-pkg/                                                     
     4.004402629               3.30 Joules power/energy-cores/                                                   
     4.004402629               0.68 Joules power/energy-psys/                                                    
     5.005249654               7.67 Joules power/energy-pkg/                                                     
     5.005249654               3.44 Joules power/energy-cores/                                                   
     5.005249654               0.67 Joules power/energy-psys/                                                    
     6.006258131               7.93 Joules power/energy-pkg/                                                     
     6.006258131               3.64 Joules power/energy-cores/                                                   
     6.006258131               0.68 Joules power/energy-psys/                                                    
     7.008002695               7.52 Joules power/energy-pkg/                                                     
     7.008002695               3.39 Joules power/energy-cores/                                                   
     7.008002695               0.68 Joules power/energy-psys/                                                    
     8.009316439               7.50 Joules power/energy-pkg/                                                     
     8.009316439               3.39 Joules power/energy-cores/                                                   
     8.009316439               0.68 Joules power/energy-psys/                                                    
     9.010708996               7.27 Joules power/energy-pkg/                                                     
     9.010708996               3.21 Joules power/energy-cores/                                                   
     9.010708996               0.68 Joules power/energy-psys/                                                    
    10.012033221               7.73 Joules power/energy-pkg/                                                     
    10.012033221               3.55 Joules power/energy-cores/                                                   
    10.012033221               0.68 Joules power/energy-psys/                                                    
    11.013414731               7.47 Joules power/energy-pkg/                                                     
    11.013414731               3.36 Joules power/energy-cores/                                                   
    11.013414731               0.68 Joules power/energy-psys/                                                    
    12.014663047               7.68 Joules power/energy-pkg/                                                     
    12.014663047               3.51 Joules power/energy-cores/                                                   
    12.014663047               0.68 Joules power/energy-psys/                                                    
    13.015300576               7.66 Joules power/energy-pkg/                                                     
    13.015300576               3.48 Joules power/energy-cores/                                                   
    13.015300576               0.68 Joules power/energy-psys/                                                    
    14.016827880               6.95 Joules power/energy-pkg/                                                     
    14.016827880               3.01 Joules power/energy-cores/                                                   
    14.016827880               0.68 Joules power/energy-psys/                                                    
    15.018192149               7.30 Joules power/energy-pkg/                                                     
    15.018192149               3.20 Joules power/energy-cores/                                                   
    15.018192149               0.68 Joules power/energy-psys/                                                    
    16.019524283               7.30 Joules power/energy-pkg/                                                     
    16.019524283               3.26 Joules power/energy-cores/                                                   
    16.019524283               0.68 Joules power/energy-psys/                                                    
    17.020255902               7.65 Joules power/energy-pkg/                                                     
    17.020255902               3.52 Joules power/energy-cores/                                                   
    17.020255902               0.67 Joules power/energy-psys/                                                    
    18.021563582               7.65 Joules power/energy-pkg/                                                     
    18.021563582               3.48 Joules power/energy-cores/                                                   
    18.021563582               0.68 Joules power/energy-psys/                                                    
    19.022299265               7.66 Joules power/energy-pkg/                                                     
    19.022299265               3.46 Joules power/energy-cores/                                                   
    19.022299265               0.68 Joules power/energy-psys/                                                    
    20.023285110               6.80 Joules power/energy-pkg/                                                     
    20.023285110               2.88 Joules power/energy-cores/                                                   
    20.023285110               0.68 Joules power/energy-psys/                                                    
    21.024293582               7.68 Joules power/energy-pkg/                                                     
    21.024293582               3.50 Joules power/energy-cores/                                                   
    21.024293582               0.68 Joules power/energy-psys/                                                    
    22.025733001               7.53 Joules power/energy-pkg/                                                     
    22.025733001               3.41 Joules power/energy-cores/                                                   
    22.025733001               0.68 Joules power/energy-psys/                                                    
    23.026294531               7.97 Joules power/energy-pkg/                                                     
    23.026294531               3.46 Joules power/energy-cores/                                                   
    23.026294531               0.67 Joules power/energy-psys/                                                    
    24.027345419               7.57 Joules power/energy-pkg/                                                     
    24.027345419               3.37 Joules power/energy-cores/                                                   
    24.027345419               0.68 Joules power/energy-psys/                                                    
    25.028707811               7.21 Joules power/energy-pkg/                                                     
    25.028707811               3.12 Joules power/energy-cores/                                                   
    25.028707811               0.68 Joules power/energy-psys/                                                    
    26.029258467               7.17 Joules power/energy-pkg/                                                     
    26.029258467               3.09 Joules power/energy-cores/                                                   
    26.029258467               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    27.030840583               7.65 Joules power/energy-pkg/                                                     
    27.030840583               3.42 Joules power/energy-cores/                                                   
