wall_time,namespace,status,duration_wall_s,duration_sim_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1788356909.747466,panther,SUCCEEDED,16.463,14.024,0.0,0,0,0,0
1788356922.744423,panther2,SUCCEEDED,29.389,24.676,0.05,0,0,0,0
1788356926.746797,panther3,SUCCEEDED,33.485,27.936,0.05,0,0,0,0
1788356960.4872942,panther,SUCCEEDED,50.665,39.896,0.05,0,0,0,0
1788356976.0247626,panther2,SUCCEEDED,53.185,40.436,0.05,0,0,0,0
1788356981.6400843,panther3,SUCCEEDED,54.87,41.272,0.05,0,0,0,0
1788357020.4226809,panther,SUCCEEDED,59.865,41.092,0.05,0,0,0,0
1788357038.5804238,panther2,SUCCEEDED,62.468,41.26,0.071,0,0,0,0
1788357054.198952,panther3,SUCCEEDED,72.481,46.748,0.071,0,0,0,0
1788357090.8924532,panther,SUCCEEDED,70.388,42.044,0.121,0,0,0,0
1788357100.1008515,panther3,SUCCEEDED,45.863,26.26,0.0,0,0,0,0
1788357123.4500914,panther2,SUCCEEDED,84.77,48.148,0.1,0,0,0,0
1788357177.2124732,panther3,SUCCEEDED,77.081,39.072,0.05,0,0,0,0
1788357179.3925686,panther2,SUCCEEDED,55.867,27.564,0.0,0,0,0,0
1788357185.0233607,panther,SUCCEEDED,94.071,47.708,0.0,0,0,0,0
1788357249.573999,panther,SUCCEEDED,64.47,29.004,0.05,0,0,0,0
1788357266.082109,panther2,SUCCEEDED,86.661,38.652,0.071,0,0,0,0
1788357268.261856,panther3,SUCCEEDED,90.979,40.548,0.1,0,0,0,0
1788357344.8383062,panther,SUCCEEDED,95.186,38.9,0.071,0,0,0,0
1788357365.0731325,panther2,SUCCEEDED,98.92,39.672,0.05,0,0,0,0
1788357375.0591552,panther3,SUCCEEDED,106.776,42.596,0.0,0,0,0,0
