wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/cmd_vel_nav_sim_hz,panther3/cmd_vel_nav_sim_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/amcl_pose_sim_hz,panther3/amcl_pose_sim_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/plan_sim_hz,panther3/plan_sim_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/local_costmap_sim_hz,panther3/local_costmap_sim_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/velodyne_filtered_sim_hz,panther3/velodyne_filtered_sim_jitter_ms,panther3/path_length_m
1788356886.960,54.728,0.1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000
1788356887.255,55.000,0.4,11.57,19.20,11.03,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.000,10.03,0.33,11.11,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.000,9.99,0.17,10.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.000
1788356888.389,56.000,1.5,10.25,11.03,11.18,3.89,2.20,0.00,2.50,0.00,0.00,0.00,0.00,0.00,1.70,14.88,1.87,6.00,4.42,7.29,5.00,0.00,0.000,9.98,1.20,11.28,2.65,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.66,0.00,1.91,0.00,4.42,7.26,5.00,0.00,0.000,10.00,0.55,11.28,3.45,2.18,0.00,2.50,0.00,0.00,0.00,0.00,0.00,1.67,0.03,1.88,8.00,4.42,7.44,5.00,0.00,0.000
1788356889.524,57.000,2.7,9.98,2.95,11.32,4.33,1.66,105.04,1.88,94.28,0.00,0.00,0.00,0.00,1.66,0.62,1.88,1.89,4.40,6.13,5.00,0.00,0.000,10.00,2.04,11.34,3.90,2.20,0.77,2.50,0.00,0.00,0.00,0.00,0.00,1.66,0.92,1.89,3.77,4.40,5.92,5.00,0.00,0.000,9.99,1.23,11.32,3.98,2.20,7.61,2.50,0.00,0.00,0.00,0.00,0.00,1.67,1.69,1.89,3.27,4.40,5.97,5.00,0.00,0.000
1788356890.659,58.000,3.8,10.02,7.23,11.41,7.62,1.89,108.73,2.14,94.28,0.00,0.00,0.00,0.00,1.67,0.82,1.88,4.99,5.51,89.91,6.11,77.14,0.000,10.01,7.31,11.41,7.81,2.21,9.59,2.50,0.00,0.00,0.00,0.00,0.00,1.67,0.76,1.89,6.80,5.52,90.30,6.11,77.14,0.000,10.00,1.55,11.36,3.81,2.21,6.45,2.50,0.00,0.00,0.00,0.00,0.00,1.67,1.72,1.89,4.99,5.51,90.38,6.11,77.14,0.000
1788356891.823,59.000,5.0,10.00,3.51,11.59,5.99,3.13,121.51,3.33,100.00,0.00,0.00,0.00,0.00,1.66,5.42,1.90,8.22,8.17,112.96,8.89,99.22,0.000,10.01,4.44,11.59,6.22,2.20,10.16,2.50,0.00,0.00,0.00,0.00,0.00,1.65,4.72,1.89,8.64,8.18,113.95,8.89,99.22,0.000,10.00,1.47,11.48,3.80,2.18,31.14,2.50,0.00,0.00,0.00,0.00,0.00,1.67,1.53,1.91,1.89,8.18,114.44,8.89,99.22,0.000
1788356892.950,60.000,6.1,10.02,4.63,11.46,4.11,2.73,116.48,3.33,100.00,0.00,0.00,0.00,0.00,1.67,9.52,1.90,12.36,9.28,113.23,10.56,99.86,0.000,10.00,5.84,11.43,5.16,2.17,34.15,2.50,0.00,0.00,0.00,0.00,0.00,1.43,85.97,1.72,70.07,9.29,113.84,10.56,99.86,0.000,10.01,1.56,11.46,4.61,2.23,20.53,2.50,0.00,0.00,0.00,0.00,0.00,1.67,0.42,1.92,3.27,9.28,113.69,10.56,99.86,0.000
1788356894.109,61.000,7.3,9.99,5.17,11.46,3.93,2.50,95.00,2.78,80.00,0.00,0.00,0.00,0.00,1.68,4.96,1.94,11.31,9.29,112.65,10.56,99.86,0.000,9.99,4.46,11.43,5.02,2.81,104.71,3.12,97.98,0.00,0.00,0.00,0.00,1.52,87.40,1.74,74.64,9.29,112.89,10.56,99.86,0.000,10.00,1.44,11.46,3.74,2.19,16.75,2.50,0.00,0.00,0.00,0.00,0.00,1.67,0.93,1.92,7.54,9.29,112.59,10.56,99.86,0.000
1788356895.261,62.000,8.4,9.98,5.38,11.57,4.53,3.08,113.47,3.33,100.00,0.50,0.00,0.50,0.00,1.67,0.75,1.94,5.66,9.18,113.94,10.56,99.86,5.896,9.99,4.53,11.55,5.48,3.08,116.10,3.33,100.00,0.00,0.00,0.00,0.00,1.67,0.92,1.94,1.89,9.19,114.23,10.56,99.86,0.000,9.99,1.70,11.55,2.79,2.16,14.78,2.50,0.00,0.50,0.00,0.50,0.00,1.66,0.47,1.93,3.77,9.17,114.29,10.56,99.86,14.301
1788356896.418,63.000,9.6,10.02,1.85,11.57,5.24,2.15,11.78,2.78,80.00,0.97,0.00,1.10,0.00,1.66,4.01,1.91,3.27,9.16,113.64,10.56,99.86,5.330,10.01,1.42,11.59,6.44,2.15,10.92,2.78,80.00,0.50,0.00,0.50,0.00,1.67,0.05,1.92,10.50,9.17,113.78,10.56,99.86,13.592,10.01,1.36,11.57,3.68,2.15,8.76,2.50,0.00,0.97,0.00,1.10,0.00,1.67,2.72,1.92,4.99,9.18,113.20,10.56,99.86,13.751
1788356897.598,64.000,10.8,10.01,1.96,11.69,6.65,2.17,13.54,2.50,0.00,0.97,0.00,1.12,14.00,1.67,7.09,1.92,6.80,8.99,116.09,10.56,99.86,4.739,10.00,2.56,11.71,8.14,2.42,110.96,2.78,80.00,0.97,0.00,1.14,0.00,1.50,94.35,1.76,69.00,8.99,116.42,10.56,99.86,12.942,10.01,2.60,11.71,7.14,2.17,10.97,2.50,0.00,0.98,0.00,1.12,18.00,1.66,4.24,1.93,1.89,8.99,116.42,10.56,99.86,13.155
1788356898.742,65.000,11.9,10.01,2.12,11.62,6.11,2.15,22.70,2.50,0.00,0.97,0.00,1.14,26.00,1.43,99.93,1.75,67.96,9.11,114.89,10.56,99.86,3.537,10.01,2.70,11.57,8.88,2.44,107.50,2.78,80.00,0.97,0.00,1.12,28.00,1.67,0.64,1.75,65.24,9.14,114.86,10.56,99.86,11.736,10.00,2.43,11.59,7.35,2.15,22.39,2.50,0.00,0.97,0.00,1.12,20.00,1.50,88.29,1.74,72.61,9.12,115.05,10.56,99.86,11.850
1788356899.895,66.000,13.1,10.00,6.91,11.48,4.34,2.18,18.26,2.50,0.00,0.98,0.00,1.12,10.00,1.66,2.62,1.91,6.80,9.21,114.12,10.56,99.86,2.924,10.01,5.42,11.48,7.33,3.11,116.18,3.33,100.00,0.97,0.00,1.10,14.00,1.67,0.60,1.92,8.22,9.21,114.45,10.56,99.86,11.036,9.99,0.93,11.48,5.11,2.73,113.13,3.00,94.28,0.98,0.00,1.11,10.00,1.67,4.67,1.92,3.27,9.20,113.72,10.56,99.86,11.136
1788356901.047,67.000,14.2,10.08,8.44,11.53,5.58,2.19,12.46,2.50,0.00,0.97,0.00,1.13,4.00,1.66,2.26,1.91,6.53,9.32,112.76,10.56,99.86,2.194,10.08,7.14,11.57,6.95,2.48,101.91,2.78,80.00,0.97,0.00,1.12,0.00,1.67,8.97,1.92,5.66,9.35,112.38,10.56,99.86,10.382,10.00,1.43,11.55,5.35,2.48,100.94,2.78,80.00,0.97,0.00,1.12,2.00,1.67,2.72,1.92,3.27,9.35,112.19,10.56,99.86,10.454
1788356902.225,68.000,15.4,10.00,9.29,11.69,7.15,2.14,15.28,2.50,0.00,0.99,0.00,1.14,12.00,1.67,3.89,1.94,8.64,9.13,107.40,10.56,99.86,1.471,10.00,6.61,11.73,5.71,2.15,15.54,2.50,0.00,0.95,0.00,1.13,8.00,1.68,5.07,1.94,8.64,9.14,114.58,10.56,99.86,9.733,10.00,1.66,11.59,4.69,2.15,16.96,2.50,0.00,0.97,0.00,1.14,8.00,1.67,0.55,1.94,8.64,9.14,114.14,10.56,99.86,9.917
1788356903.433,69.000,16.6,10.03,10.50,11.95,9.43,2.09,24.25,2.50,0.00,0.97,0.00,1.17,16.00,1.43,102.55,1.80,62.57,8.86,111.32,10.56,99.86,0.788,9.99,8.31,11.93,7.95,2.09,25.11,2.50,0.00,0.97,0.00,1.15,8.00,1.43,99.95,1.80,67.96,8.85,118.58,10.56,99.86,9.083,9.99,1.69,11.95,7.73,2.08,22.46,2.50,0.00,0.97,0.00,1.16,10.00,1.43,100.26,1.80,62.57,8.86,117.97,10.56,99.86,9.237
1788356904.609,70.000,17.8,10.04,4.95,11.88,8.38,1.79,104.85,2.22,86.60,0.98,0.00,1.16,26.00,1.50,95.02,1.79,59.42,8.97,116.90,10.56,99.86,0.383,10.06,2.95,11.90,8.09,2.10,22.06,2.50,0.00,0.96,0.00,1.14,16.00,1.67,0.06,1.78,63.19,8.97,116.60,10.56,99.86,8.533,10.00,1.02,11.93,8.04,2.10,20.93,2.50,0.00,0.97,0.00,1.15,14.00,1.50,94.76,1.78,58.55,8.96,116.82,10.56,99.86,8.673
