wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787750421.6492743,panther,SUCCEEDED,1.837,0.071,0,0,0,0
1787750439.0476003,panther2,SUCCEEDED,19.173,0.05,0,0,0,0
1787750481.6873481,panther,SUCCEEDED,59.981,0.071,0,0,0,0
1787750502.9116812,panther2,SUCCEEDED,63.861,0.05,0,0,0,0
1787750552.7855203,panther,SUCCEEDED,71.007,0.15,0,0,0,0
1787750577.772894,panther2,SUCCEEDED,74.773,0.071,0,0,0,0
1787750635.9410646,panther,SUCCEEDED,83.069,0.0,0,0,0,0
1787750674.2803643,panther2,SUCCEEDED,96.481,0.0,0,0,0,0
1787750739.636654,panther2,SUCCEEDED,65.285,0.121,0,0,0,0
1787750745.2321486,panther,SUCCEEDED,109.201,0.05,0,0,0,0
1787750817.5646243,panther,SUCCEEDED,72.272,0.071,0,0,0,0
1787750836.4268334,panther2,SUCCEEDED,96.776,0.0,0,0,0,0
1787750919.9817321,panther,SUCCEEDED,102.363,0.0,0,0,0,0
