wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787750419.814,0.1,0.0,0.00,0.0,0.00,0.5,0.00,0.0,0.00,0.0,0.00,0.071,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787750420.979,1.3,9.8,7.09,2.8,26.85,1.0,0.00,0.5,0.00,5.4,24.30,0.071,9.9,6.86,1.9,0.00,0.5,0.00,0.5,0.00,5.5,22.38,6.385
1787750422.473,2.8,10.4,24.08,2.4,103.12,1.1,0.00,1.3,0.00,6.5,22.21,24.448,10.0,3.20,2.2,46.88,1.0,0.00,1.1,97.90,6.5,22.06,6.075
1787750423.843,4.1,10.0,1.84,2.9,75.50,1.0,0.00,1.3,1.74,7.1,13.79,23.797,10.0,3.23,2.4,20.33,1.0,0.00,1.3,0.00,7.1,14.80,5.119
1787750425.318,5.6,10.0,3.55,2.1,42.31,1.0,0.00,1.2,0.00,7.0,21.69,23.181,10.0,3.53,2.4,28.28,1.0,0.00,1.2,0.00,7.0,22.01,4.586
1787750427.043,7.3,10.1,7.41,1.6,150.22,1.0,0.00,1.0,0.00,5.8,36.12,22.353,10.0,2.78,1.8,44.30,1.0,0.00,1.0,0.00,5.8,36.31,3.836
1787750428.526,8.8,10.1,3.47,1.6,20.15,1.0,0.00,1.2,0.00,6.6,19.48,21.879,10.0,4.95,2.2,31.51,1.0,0.00,1.0,0.00,6.6,19.58,3.380
1787750429.918,10.2,10.0,4.67,2.4,11.56,1.0,0.00,1.2,0.00,7.2,10.96,21.385,10.0,1.83,2.8,55.08,1.0,0.00,1.2,0.00,7.2,11.53,2.182
1787750431.420,11.7,10.0,5.78,1.9,70.16,1.0,0.00,1.3,0.00,6.9,13.62,20.416,10.0,1.92,2.3,33.02,1.0,0.00,1.2,0.00,6.9,13.81,1.673
1787750433.190,13.5,10.0,2.95,2.3,99.85,1.0,0.00,1.0,0.00,5.8,27.48,19.723,10.0,4.27,1.9,59.85,1.0,0.00,1.0,0.00,5.7,29.44,0.666
1787750434.624,14.9,10.0,3.19,2.2,39.26,1.0,0.00,1.3,0.00,6.7,23.82,19.223,10.0,3.01,1.7,64.47,1.0,0.00,1.0,0.00,6.7,23.36,0.262
1787750436.007,16.3,10.0,4.97,2.4,14.97,1.0,0.00,1.3,0.41,7.3,8.11,18.787,10.0,1.81,2.4,209.06,1.0,0.00,1.2,0.00,7.3,7.12,0.000
1787750437.666,18.0,10.0,2.32,2.0,52.78,0.9,0.00,1.0,0.00,6.3,24.79,17.784,10.0,5.61,4.6,81.67,1.0,0.00,1.2,0.00,6.3,22.75,0.050
1787750439.395,19.7,10.0,4.16,1.9,16.07,1.0,0.00,1.0,0.00,5.8,24.54,16.984,10.6,23.35,2.4,49.37,1.8,492.10,1.0,0.00,5.8,24.38,23.706
1787750440.780,21.1,10.0,2.70,2.3,30.00,1.0,0.00,1.2,0.51,6.9,17.93,16.437,10.7,22.27,4.9,66.65,1.8,493.21,1.2,7.52,6.9,18.76,23.684
1787750442.325,22.6,10.0,5.46,2.8,95.03,1.0,0.00,1.2,0.62,6.6,20.45,15.834,9.9,4.44,2.8,96.19,1.0,0.00,1.2,0.00,6.6,21.10,22.898
1787750443.998,24.3,10.0,2.18,2.3,11.72,1.0,0.00,1.1,99.38,6.2,34.14,14.977,10.0,5.20,2.1,62.27,1.0,0.00,1.0,0.00,6.2,34.93,22.442
1787750445.636,25.9,10.0,1.97,2.0,53.58,1.0,0.00,1.0,0.00,5.9,30.91,14.077,10.0,2.80,1.9,51.57,1.0,0.00,1.0,0.00,5.9,31.30,21.667
1787750447.045,27.3,10.0,5.26,2.7,58.99,1.0,0.00,1.3,0.00,7.1,7.50,13.477,10.0,1.03,2.4,14.85,1.0,0.00,1.3,0.00,7.1,7.38,21.213
1787750448.568,28.9,10.0,5.95,2.4,71.34,1.0,0.00,1.0,0.00,6.6,11.53,12.977,10.0,0.96,2.2,23.94,1.0,0.00,1.3,0.00,6.6,12.28,20.287
1787750450.380,30.7,10.0,1.95,2.0,35.26,1.0,0.00,0.5,0.00,5.6,33.72,12.077,10.0,1.70,1.8,35.03,1.0,0.00,1.0,0.00,5.6,36.07,19.804
1787750451.862,32.2,10.0,2.56,2.4,103.03,1.0,0.00,1.0,0.00,6.4,28.76,11.174,10.0,2.84,2.2,39.47,1.0,0.00,1.2,0.00,6.4,28.67,19.029
1787750453.363,33.7,10.0,3.06,2.3,29.32,1.0,0.00,1.3,0.95,6.8,14.74,10.674,10.0,3.03,2.2,28.03,1.0,0.00,1.3,19.22,6.8,13.63,18.612
1787750454.949,35.3,10.0,1.81,2.1,16.50,1.0,0.00,1.2,1.92,6.4,14.55,9.636,10.0,2.06,1.6,21.88,1.0,0.00,1.3,0.00,6.4,14.25,17.890
1787750456.739,37.0,10.0,4.09,1.7,9.17,1.0,0.00,1.0,0.00,5.5,30.78,9.236,10.0,1.09,1.8,66.36,0.5,0.00,0.8,0.00,5.5,29.11,17.537
1787750458.164,38.5,10.0,2.60,2.3,19.84,1.0,0.00,1.2,0.00,6.9,13.72,8.336,10.0,1.84,2.6,70.90,1.0,0.00,1.3,2.75,6.9,13.19,16.595
1787750459.760,40.1,10.0,4.32,2.1,8.98,1.0,0.00,1.0,0.00,6.4,13.09,7.886,10.0,1.84,2.1,34.33,1.0,0.00,1.1,101.56,6.4,12.56,16.115
1787750461.473,41.8,10.0,2.21,2.1,28.06,1.0,0.00,1.0,0.00,6.1,23.04,6.936,10.0,8.06,2.1,24.78,1.0,0.00,1.0,0.00,6.1,22.29,15.177
1787750463.121,43.4,10.0,3.21,2.5,43.32,1.0,0.00,1.3,0.00,5.9,32.68,6.027,10.0,1.93,2.3,21.06,1.0,0.00,1.0,0.00,5.9,33.02,14.347
1787750464.652,45.0,10.0,3.69,2.2,41.46,1.0,0.00,1.2,0.00,6.6,15.48,5.520,10.0,2.67,2.2,42.45,1.0,0.00,1.1,108.00,6.6,19.03,13.885
1787750466.274,46.6,10.0,2.61,2.1,21.07,1.0,0.00,1.2,0.00,6.2,17.85,4.676,10.0,2.55,2.1,23.33,1.0,0.00,1.3,0.00,6.2,20.81,13.049
1787750468.063,48.4,10.0,3.59,1.9,29.60,1.0,0.00,1.0,0.00,5.8,24.22,4.226,10.0,2.04,1.9,52.00,1.0,0.00,1.0,0.00,5.7,25.14,12.650
1787750469.515,49.8,10.0,2.99,2.3,6.19,1.0,0.00,1.1,99.80,6.5,22.06,3.326,10.0,1.56,2.2,23.81,1.0,0.00,1.2,0.00,6.5,21.49,11.754
1787750471.150,51.5,10.0,4.30,2.5,71.79,1.0,0.00,1.0,0.00,6.2,20.67,2.893,10.0,4.55,3.1,27.47,1.0,0.00,1.1,100.85,6.2,19.96,11.294
1787750472.851,53.2,9.9,3.67,2.1,12.06,1.0,0.00,1.0,0.00,6.0,24.91,1.880,10.0,4.86,2.2,97.11,1.0,0.00,1.0,0.00,6.0,25.75,10.342
1787750474.554,54.9,10.0,4.11,1.8,66.60,1.0,0.00,1.0,0.00,5.8,26.73,0.957,10.0,2.09,1.9,50.53,1.0,0.00,1.0,0.00,5.8,25.59,9.441
1787750476.177,56.5,10.0,4.40,1.8,113.43,1.0,0.00,1.3,0.00,6.3,23.87,0.424,10.0,1.36,2.1,31.10,1.0,0.00,1.0,0.00,6.2,23.65,9.006
1787750477.806,58.1,10.0,4.91,0.5,0.00,1.0,0.00,1.2,0.00,6.1,16.57,0.050,10.0,1.53,2.1,15.89,1.0,0.00,1.0,0.00,6.1,15.39,8.138
1787750479.611,59.9,10.0,2.95,4.2,83.75,1.0,0.00,1.0,0.00,5.5,26.82,0.071,10.0,1.79,1.8,52.96,1.0,0.00,1.0,0.00,5.5,26.19,7.488
1787750481.203,61.5,10.0,3.44,3.8,72.20,1.0,0.00,1.3,0.00,6.2,22.81,0.050,10.0,0.87,2.3,93.29,1.0,0.00,1.3,0.00,6.2,22.27,7.017
1787750482.888,63.2,10.0,32.29,2.2,295.21,1.5,354.75,1.0,0.00,5.9,22.74,23.732,10.0,1.04,2.0,31.23,1.0,0.00,1.0,0.00,5.9,22.92,6.146
1787750484.630,64.9,10.0,0.88,4.6,83.54,0.9,0.00,1.0,0.00,5.9,26.16,23.573,10.0,0.99,2.1,26.71,1.0,0.00,1.0,0.00,5.9,26.60,5.396
1787750486.312,66.6,10.0,4.65,1.6,100.11,1.0,0.00,1.0,0.00,5.8,27.68,22.752,10.0,3.04,2.0,45.53,1.0,0.00,1.0,0.00,5.8,27.11,4.989
1787750488.010,68.3,10.0,1.27,1.6,44.56,1.0,0.00,1.0,0.00,6.0,36.53,22.330,10.0,1.26,1.9,46.91,1.0,0.00,1.0,0.00,6.0,35.53,4.056
1787750489.685,70.0,10.0,1.21,2.0,24.03,1.0,0.00,1.0,0.00,6.1,12.59,21.637,10.0,3.25,2.0,21.60,1.0,0.00,1.0,0.00,6.1,12.47,3.697
1787750491.419,71.7,10.0,1.81,1.9,39.87,1.0,0.00,1.0,0.00,5.8,22.20,20.781,10.0,1.61,2.9,26.63,1.0,0.00,1.0,0.00,5.8,22.34,2.828
1787750493.098,73.4,10.0,1.55,2.0,24.12,1.0,0.00,1.0,0.00,6.2,19.48,20.417,10.0,2.40,2.0,28.84,1.0,0.00,1.0,0.00,6.2,18.79,1.735
1787750494.796,75.1,10.0,3.41,2.3,77.28,1.0,0.00,1.0,0.00,5.7,23.45,19.433,10.0,3.30,2.0,7.79,1.0,0.00,1.0,0.00,5.7,23.31,1.240
1787750496.579,76.9,10.0,6.07,1.8,47.64,1.0,0.00,1.0,0.00,5.6,23.32,18.590,10.0,1.57,1.9,10.38,1.0,0.00,1.0,0.00,5.6,22.33,0.404
1787750498.205,78.5,10.1,4.04,2.1,26.57,1.0,0.00,1.2,0.00,6.3,15.58,18.177,10.0,2.17,0.7,0.00,1.0,0.00,1.1,100.72,6.3,15.90,0.121
1787750499.973,80.3,10.0,2.44,1.9,19.09,1.0,0.00,1.0,0.00,5.7,24.79,17.389,10.0,1.68,3.4,192.77,0.5,0.00,1.0,0.00,5.7,24.62,0.100
1787750501.766,82.1,10.0,2.62,1.9,20.05,1.0,0.00,1.0,0.00,5.5,22.58,16.647,10.0,1.95,3.3,77.91,1.0,0.00,1.0,0.00,5.5,22.37,0.050
1787750503.433,83.7,10.0,2.31,2.1,10.46,1.0,0.00,1.0,0.00,6.1,15.31,16.233,10.2,26.74,2.3,56.25,1.0,0.00,1.3,0.00,6.1,14.03,23.994
1787750505.173,85.5,10.0,1.38,1.9,30.75,1.0,0.00,1.0,0.00,5.7,22.53,15.384,10.0,7.58,2.9,35.76,1.0,0.00,1.0,0.00,5.7,23.87,23.885
1787750506.933,87.2,10.0,1.97,1.9,21.51,1.0,0.00,1.0,0.00,5.6,19.41,14.606,10.0,7.38,2.2,86.68,1.0,0.00,1.0,0.00,5.6,20.19,23.532
