timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1788342988.213681537,panther_controller,33.92%,102.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342988.213681537,panther2_controller,34.22%,101MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342990.259129287,panther_controller,37.67%,103.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342990.259129287,panther2_controller,39.06%,101.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342992.268138443,panther_controller,40.73%,103.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342992.268138443,panther2_controller,41.76%,102.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342994.278495491,panther_controller,33.44%,103.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342994.278495491,panther2_controller,33.20%,101.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342996.288367840,panther_controller,36.93%,104MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342996.288367840,panther2_controller,35.35%,101.7MiB / 31.05GiB,0B / 0B,0B / 967kB,55
1788342998.298434849,panther_controller,37.53%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788342998.298434849,panther2_controller,35.54%,101.8MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343000.307922260,panther_controller,39.18%,104MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343000.307922260,panther2_controller,38.27%,102.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343002.318448663,panther_controller,38.52%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343002.318448663,panther2_controller,37.81%,102.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343004.327746988,panther_controller,37.87%,103.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343004.327746988,panther2_controller,37.11%,102.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343006.337589541,panther_controller,37.09%,103.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343006.337589541,panther2_controller,35.23%,102.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343008.347072595,panther_controller,39.28%,103.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343008.347072595,panther2_controller,38.03%,102.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343010.358166777,panther_controller,35.79%,103.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343010.358166777,panther2_controller,35.70%,102.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1788343012.367766080,panther_controller,36.84%,103.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
