# started on Wed Sep  2 11:56:28 2026

#           time             counts   unit events
     1.001085111               6.96 Joules power/energy-pkg/                                                     
     1.001085111               2.60 Joules power/energy-cores/                                                   
     1.001085111               0.68 Joules power/energy-psys/                                                    
     2.002047099               7.35 Joules power/energy-pkg/                                                     
     2.002047099               3.22 Joules power/energy-cores/                                                   
     2.002047099               0.68 Joules power/energy-psys/                                                    
     3.003326908               7.64 Joules power/energy-pkg/                                                     
     3.003326908               3.69 Joules power/energy-cores/                                                   
     3.003326908               0.68 Joules power/energy-psys/                                                    
     4.004107902               5.87 Joules power/energy-pkg/                                                     
     4.004107902               2.17 Joules power/energy-cores/                                                   
     4.004107902               0.68 Joules power/energy-psys/                                                    
     5.005050741               6.05 Joules power/energy-pkg/                                                     
     5.005050741               2.24 Joules power/energy-cores/                                                   
     5.005050741               0.68 Joules power/energy-psys/                                                    
     6.006090602               6.19 Joules power/energy-pkg/                                                     
     6.006090602               2.30 Joules power/energy-cores/                                                   
     6.006090602               0.68 Joules power/energy-psys/                                                    
     7.007277670               6.13 Joules power/energy-pkg/                                                     
     7.007277670               2.26 Joules power/energy-cores/                                                   
     7.007277670               0.68 Joules power/energy-psys/                                                    
     8.008056883               5.81 Joules power/energy-pkg/                                                     
     8.008056883               2.07 Joules power/energy-cores/                                                   
     8.008056883               0.68 Joules power/energy-psys/                                                    
     9.009050284               5.86 Joules power/energy-pkg/                                                     
     9.009050284               2.11 Joules power/energy-cores/                                                   
     9.009050284               0.68 Joules power/energy-psys/                                                    
    10.010444250               5.92 Joules power/energy-pkg/                                                     
    10.010444250               2.16 Joules power/energy-cores/                                                   
    10.010444250               0.68 Joules power/energy-psys/                                                    
    11.012045365               6.18 Joules power/energy-pkg/                                                     
    11.012045365               2.29 Joules power/energy-cores/                                                   
    11.012045365               0.68 Joules power/energy-psys/                                                    
    12.013365620               6.01 Joules power/energy-pkg/                                                     
    12.013365620               2.20 Joules power/energy-cores/                                                   
    12.013365620               0.68 Joules power/energy-psys/                                                    
    13.014794353               6.14 Joules power/energy-pkg/                                                     
    13.014794353               2.08 Joules power/energy-cores/                                                   
    13.014794353               0.68 Joules power/energy-psys/                                                    
    14.016239305               6.11 Joules power/energy-pkg/                                                     
    14.016239305               2.25 Joules power/energy-cores/                                                   
    14.016239305               0.68 Joules power/energy-psys/                                                    
    15.017635518               6.06 Joules power/energy-pkg/                                                     
    15.017635518               2.23 Joules power/energy-cores/                                                   
    15.017635518               0.68 Joules power/energy-psys/                                                    
    16.018974110               6.14 Joules power/energy-pkg/                                                     
    16.018974110               2.25 Joules power/energy-cores/                                                   
    16.018974110               0.68 Joules power/energy-psys/                                                    
    17.020205608               6.05 Joules power/energy-pkg/                                                     
    17.020205608               2.18 Joules power/energy-cores/                                                   
    17.020205608               0.68 Joules power/energy-psys/                                                    
    18.022053905               6.00 Joules power/energy-pkg/                                                     
    18.022053905               2.24 Joules power/energy-cores/                                                   
    18.022053905               0.68 Joules power/energy-psys/                                                    
    19.023406266               5.83 Joules power/energy-pkg/                                                     
    19.023406266               2.08 Joules power/energy-cores/                                                   
    19.023406266               0.68 Joules power/energy-psys/                                                    
    20.024734334               6.03 Joules power/energy-pkg/                                                     
    20.024734334               2.20 Joules power/energy-cores/                                                   
    20.024734334               0.68 Joules power/energy-psys/                                                    
    21.028357349               6.09 Joules power/energy-pkg/                                                     
    21.028357349               2.20 Joules power/energy-cores/                                                   
    21.028357349               0.68 Joules power/energy-psys/                                                    
    22.029740477               6.12 Joules power/energy-pkg/                                                     
    22.029740477               2.30 Joules power/energy-cores/                                                   
    22.029740477               0.68 Joules power/energy-psys/                                                    
    23.031373067               6.06 Joules power/energy-pkg/                                                     
    23.031373067               2.20 Joules power/energy-cores/                                                   
    23.031373067               0.68 Joules power/energy-psys/                                                    
    24.033338902               5.90 Joules power/energy-pkg/                                                     
    24.033338902               2.10 Joules power/energy-cores/                                                   
    24.033338902               0.68 Joules power/energy-psys/                                                    
    25.035263260               5.87 Joules power/energy-pkg/                                                     
    25.035263260               2.12 Joules power/energy-cores/                                                   
    25.035263260               0.68 Joules power/energy-psys/                                                    
    26.036619990               5.92 Joules power/energy-pkg/                                                     
    26.036619990               2.17 Joules power/energy-cores/                                                   
    26.036619990               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    27.038094373               6.06 Joules power/energy-pkg/                                                     
    27.038094373               2.20 Joules power/energy-cores/                                                   
    27.038094373               0.68 Joules power/energy-psys/                                                    
    28.039351228               5.77 Joules power/energy-pkg/                                                     
    28.039351228               2.08 Joules power/energy-cores/                                                   
    28.039351228               0.68 Joules power/energy-psys/                                                    
    29.040705707               6.07 Joules power/energy-pkg/                                                     
    29.040705707               2.23 Joules power/energy-cores/                                                   
    29.040705707               0.68 Joules power/energy-psys/                                                    
    30.041082068               6.04 Joules power/energy-pkg/                                                     
    30.041082068               2.27 Joules power/energy-cores/                                                   
    30.041082068               0.68 Joules power/energy-psys/                                                    
    31.042420803               6.06 Joules power/energy-pkg/                                                     
    31.042420803               2.16 Joules power/energy-cores/                                                   
    31.042420803               0.68 Joules power/energy-psys/                                                    
    32.043714543               5.96 Joules power/energy-pkg/                                                     
    32.043714543               2.19 Joules power/energy-cores/                                                   
    32.043714543               0.68 Joules power/energy-psys/                                                    
    33.044080823               5.89 Joules power/energy-pkg/                                                     
    33.044080823               2.14 Joules power/energy-cores/                                                   
    33.044080823               0.68 Joules power/energy-psys/                                                    
    34.045523263               5.90 Joules power/energy-pkg/                                                     
    34.045523263               2.13 Joules power/energy-cores/                                                   
    34.045523263               0.68 Joules power/energy-psys/                                                    
    35.046976272               6.05 Joules power/energy-pkg/                                                     
    35.046976272               2.14 Joules power/energy-cores/                                                   
    35.046976272               0.68 Joules power/energy-psys/                                                    
    36.048364955               5.85 Joules power/energy-pkg/                                                     
    36.048364955               2.03 Joules power/energy-cores/                                                   
    36.048364955               0.68 Joules power/energy-psys/                                                    
    37.049310668               6.26 Joules power/energy-pkg/                                                     
    37.049310668               2.14 Joules power/energy-cores/                                                   
    37.049310668               0.68 Joules power/energy-psys/                                                    
    38.050707410               5.93 Joules power/energy-pkg/                                                     
    38.050707410               2.10 Joules power/energy-cores/                                                   
    38.050707410               0.68 Joules power/energy-psys/                                                    
    39.053048002               5.94 Joules power/energy-pkg/                                                     
    39.053048002               2.09 Joules power/energy-cores/                                                   
    39.053048002               0.67 Joules power/energy-psys/                                                    
    40.054340761               5.85 Joules power/energy-pkg/                                                     
    40.054340761               2.13 Joules power/energy-cores/                                                   
    40.054340761               0.68 Joules power/energy-psys/                                                    
    41.055581064               6.14 Joules power/energy-pkg/                                                     
    41.055581064               2.19 Joules power/energy-cores/                                                   
    41.055581064               0.68 Joules power/energy-psys/                                                    
    42.057458368               5.84 Joules power/energy-pkg/                                                     
    42.057458368               2.07 Joules power/energy-cores/                                                   
    42.057458368               0.68 Joules power/energy-psys/                                                    
    43.058087157               6.05 Joules power/energy-pkg/                                                     
    43.058087157               2.12 Joules power/energy-cores/                                                   
    43.058087157               0.68 Joules power/energy-psys/                                                    
    44.059477571               5.85 Joules power/energy-pkg/                                                     
    44.059477571               2.06 Joules power/energy-cores/                                                   
    44.059477571               0.68 Joules power/energy-psys/                                                    
    45.060811610               5.92 Joules power/energy-pkg/                                                     
    45.060811610               2.11 Joules power/energy-cores/                                                   
    45.060811610               0.68 Joules power/energy-psys/                                                    
    46.062373766               5.97 Joules power/energy-pkg/                                                     
    46.062373766               2.15 Joules power/energy-cores/                                                   
    46.062373766               0.68 Joules power/energy-psys/                                                    
    47.063733014               5.96 Joules power/energy-pkg/                                                     
    47.063733014               2.07 Joules power/energy-cores/                                                   
    47.063733014               0.68 Joules power/energy-psys/                                                    
    48.065115761               5.85 Joules power/energy-pkg/                                                     
    48.065115761               2.07 Joules power/energy-cores/                                                   
    48.065115761               0.68 Joules power/energy-psys/                                                    
    49.066608175               5.69 Joules power/energy-pkg/                                                     
    49.066608175               1.97 Joules power/energy-cores/                                                   
    49.066608175               0.68 Joules power/energy-psys/                                                    
    50.068093107               5.90 Joules power/energy-pkg/                                                     
    50.068093107               2.09 Joules power/energy-cores/                                                   
    50.068093107               0.68 Joules power/energy-psys/                                                    
    51.069393371               6.11 Joules power/energy-pkg/                                                     
    51.069393371               2.15 Joules power/energy-cores/                                                   
    51.069393371               0.68 Joules power/energy-psys/                                                    
    52.070766606               5.68 Joules power/energy-pkg/                                                     
    52.070766606               2.03 Joules power/energy-cores/                                                   
    52.070766606               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    53.075192221               5.82 Joules power/energy-pkg/                                                     
    53.075192221               2.01 Joules power/energy-cores/                                                   
    53.075192221               0.68 Joules power/energy-psys/                                                    
    54.076718539               5.86 Joules power/energy-pkg/                                                     
    54.076718539               2.13 Joules power/energy-cores/                                                   
    54.076718539               0.68 Joules power/energy-psys/                                                    
    55.078448710               6.02 Joules power/energy-pkg/                                                     
    55.078448710               2.19 Joules power/energy-cores/                                                   
    55.078448710               0.68 Joules power/energy-psys/                                                    
    56.079790040               5.87 Joules power/energy-pkg/                                                     
    56.079790040               2.14 Joules power/energy-cores/                                                   
    56.079790040               0.68 Joules power/energy-psys/                                                    
    57.081045676               6.12 Joules power/energy-pkg/                                                     
    57.081045676               2.22 Joules power/energy-cores/                                                   
    57.081045676               0.68 Joules power/energy-psys/                                                    
    58.082516827               5.73 Joules power/energy-pkg/                                                     
    58.082516827               2.01 Joules power/energy-cores/                                                   
    58.082516827               0.68 Joules power/energy-psys/                                                    
    59.083987374               6.09 Joules power/energy-pkg/                                                     
    59.083987374               2.06 Joules power/energy-cores/                                                   
    59.083987374               0.68 Joules power/energy-psys/                                                    
    60.085265101               6.00 Joules power/energy-pkg/                                                     
    60.085265101               2.03 Joules power/energy-cores/                                                   
    60.085265101               0.68 Joules power/energy-psys/                                                    
    61.086667197               5.82 Joules power/energy-pkg/                                                     
    61.086667197               1.99 Joules power/energy-cores/                                                   
    61.086667197               0.68 Joules power/energy-psys/                                                    
    62.088058867               6.02 Joules power/energy-pkg/                                                     
    62.088058867               2.18 Joules power/energy-cores/                                                   
    62.088058867               0.68 Joules power/energy-psys/                                                    
    63.089378108               5.88 Joules power/energy-pkg/                                                     
    63.089378108               2.00 Joules power/energy-cores/                                                   
    63.089378108               0.68 Joules power/energy-psys/                                                    
    64.090717151               5.75 Joules power/energy-pkg/                                                     
    64.090717151               1.99 Joules power/energy-cores/                                                   
    64.090717151               0.68 Joules power/energy-psys/                                                    
    65.092230514               5.98 Joules power/energy-pkg/                                                     
    65.092230514               2.06 Joules power/energy-cores/                                                   
    65.092230514               0.68 Joules power/energy-psys/                                                    
    66.093610485               5.79 Joules power/energy-pkg/                                                     
    66.093610485               2.00 Joules power/energy-cores/                                                   
    66.093610485               0.68 Joules power/energy-psys/                                                    
    67.095004731               6.18 Joules power/energy-pkg/                                                     
