wall_time,namespace,status,duration_wall_s,duration_sim_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1788342998.216398,panther2,SUCCEEDED,5.091,4.068,0.071,0,0,0,0
1788343038.3551252,panther,SUCCEEDED,46.291,35.736,0.071,0,0,0,0
1788343052.366658,panther2,SUCCEEDED,54.071,41.068,0.05,0,0,0,0
1788343098.4952242,panther,SUCCEEDED,60.076,42.464,0.05,0,0,0,0
1788343122.233534,panther2,SUCCEEDED,69.791,47.976,0.05,0,0,0,0
1788343166.549291,panther2,SUCCEEDED,44.271,27.88,0.05,0,0,0,0
1788343173.1253312,panther,SUCCEEDED,74.569,47.632,0.071,0,0,0,0
1788343221.112797,panther,SUCCEEDED,47.961,28.1,0.0,0,0,0,0
1788343232.3078132,panther2,SUCCEEDED,65.66,38.368,0.071,0,0,0,0
1788343293.390396,panther,SUCCEEDED,72.259,39.516,0.05,0,0,0,0
1788343307.8613791,panther2,SUCCEEDED,75.457,40.624,0.05,0,0,0,0
1788343372.9049003,panther,SUCCEEDED,79.461,40.164,0.121,0,0,0,0
1788343396.063957,panther2,SUCCEEDED,88.16,43.68,0.05,0,0,0,0
1788343461.736991,panther,SUCCEEDED,88.806,40.776,0.071,0,0,0,0
