wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m
1788342990.805,126.756,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000
1788342991.090,127.000,0.4,9.96,0.00,12.20,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.000,9.94,0.00,11.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.000
1788342992.356,128.000,1.7,10.00,1.75,12.58,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,1.58,0.00,4.03,2.00,5.00,0.00,0.000,10.00,3.90,12.59,8.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,1.60,0.00,4.03,2.19,5.00,0.00,0.000
1788342993.614,129.000,2.9,10.00,3.13,12.63,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,4.60,1.57,4.00,3.93,10.08,5.00,0.00,0.000,10.05,3.05,12.65,7.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,4.26,1.58,10.00,3.93,10.02,5.00,0.00,0.000
1788342994.845,130.000,4.2,10.00,1.27,12.32,4.69,0.00,0.00,0.00,0.00,0.93,0.00,1.17,0.00,1.26,6.09,1.55,11.78,4.06,2.04,5.00,0.00,20.730,10.01,6.08,12.47,7.07,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,1.26,5.94,1.55,9.80,4.07,2.39,5.00,0.00,0.150
1788342996.073,131.000,5.4,10.00,1.41,12.30,5.85,2.09,0.00,2.50,0.00,0.95,0.00,1.15,14.00,1.25,1.91,1.55,11.78,4.07,2.04,5.00,0.00,20.048,10.02,5.74,12.32,5.94,0.50,0.00,0.50,0.00,0.97,0.00,1.20,0.00,1.25,1.82,1.55,9.80,4.07,2.19,5.00,0.00,0.121
1788342997.312,132.000,6.6,9.96,2.30,12.35,5.57,2.04,9.14,2.50,0.00,0.98,0.00,1.17,28.00,1.25,0.14,1.55,10.50,6.59,119.06,7.78,95.83,19.436,10.00,1.83,12.32,5.35,4.04,5.61,5.00,0.00,0.97,0.00,1.20,4.00,1.25,0.29,1.54,8.64,6.59,118.71,7.78,95.83,0.121
1788342998.628,133.000,7.9,10.00,2.93,12.76,6.60,1.92,25.19,2.50,0.00,0.95,0.00,1.23,12.00,1.24,4.64,1.58,22.94,8.27,128.18,10.56,99.86,18.879,10.28,24.65,12.99,18.63,2.77,139.37,3.89,90.35,1.30,239.80,1.51,202.73,1.25,1.19,1.58,24.94,8.27,127.74,10.56,99.86,23.994
1788342999.873,134.000,9.2,10.00,3.91,12.81,7.08,2.01,13.47,2.50,0.00,0.96,0.00,1.24,4.00,1.26,3.21,1.60,16.44,8.47,124.80,10.56,99.86,18.367,10.26,24.77,13.05,18.02,2.84,128.56,3.33,100.00,1.27,257.55,1.50,203.89,1.25,0.36,1.60,21.25,8.47,124.73,10.56,99.86,23.899
1788343001.116,135.000,10.4,10.01,3.68,12.47,5.60,2.01,12.53,2.50,0.00,0.97,0.00,1.18,2.00,1.25,1.02,1.55,9.98,8.54,123.13,10.56,99.86,17.439,10.00,0.97,12.47,4.69,3.52,84.77,4.37,69.99,0.94,0.00,1.19,4.00,1.25,0.39,1.55,10.50,8.53,122.40,10.56,99.86,23.623
