timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787410433.268535832,panther_controller,34.35%,99.14MiB / 31.05GiB,0B / 0B,0B / 958kB,55
1787410433.268535832,panther2_controller,31.81%,99.71MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410435.314270107,panther_controller,35.46%,101.4MiB / 31.05GiB,0B / 0B,0B / 958kB,59
1787410435.314270107,panther2_controller,30.07%,100.3MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410437.322949294,panther_controller,29.57%,101.7MiB / 31.05GiB,0B / 0B,0B / 958kB,59
1787410437.322949294,panther2_controller,32.25%,101MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410439.332906542,panther_controller,33.23%,102.5MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410439.332906542,panther2_controller,31.60%,100.9MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410441.343923376,panther_controller,36.35%,102.7MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410441.343923376,panther2_controller,32.67%,100.7MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410443.354261391,panther_controller,36.39%,102.9MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410443.354261391,panther2_controller,34.33%,101.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410445.364592813,panther_controller,34.15%,103.1MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410445.364592813,panther2_controller,32.67%,101.2MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410447.374525379,panther_controller,33.72%,104.4MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410447.374525379,panther2_controller,35.12%,101.6MiB / 31.05GiB,0B / 0B,0B / 963kB,56
1787410449.384022466,panther_controller,35.73%,104.4MiB / 31.05GiB,0B / 0B,0B / 958kB,60
1787410449.384022466,panther2_controller,37.12%,101.8MiB / 31.05GiB,0B / 0B,0B / 963kB,56
