wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787410435.535,0.1,0.5,0.00,0.0,0.00,0.0,0.00,0.5,0.00,0.0,0.00,0.000,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787410436.009,0.6,10.8,20.00,0.5,0.00,0.0,0.00,0.5,0.00,7.5,24.41,0.000,9.9,8.84,0.5,0.00,0.0,0.00,0.0,0.00,7.7,29.14,0.000
1787410437.609,2.2,10.1,13.81,2.8,41.41,0.8,0.00,1.2,0.00,6.4,28.31,0.191,10.1,16.63,2.1,27.30,1.0,0.00,1.2,0.00,6.5,32.02,7.045
1787410439.257,3.8,0.5,0.00,3.1,19.20,0.5,0.00,1.0,0.00,6.1,28.20,0.191,9.9,15.34,2.1,11.79,1.0,0.00,1.0,0.00,6.1,24.16,6.262
1787410440.773,5.4,10.0,2.23,4.6,83.63,0.5,0.00,1.1,114.03,6.3,19.93,0.262,10.0,8.69,2.1,25.94,1.0,0.00,1.1,102.96,6.3,22.15,5.861
1787410442.308,6.9,9.9,4.14,0.5,0.00,1.0,0.00,1.2,26.70,6.5,16.14,0.262,9.9,9.66,2.2,19.11,1.0,0.00,1.2,0.00,6.5,14.56,4.914
1787410443.993,8.6,10.0,6.98,2.8,61.31,1.0,0.00,1.2,0.00,6.2,18.51,0.262,10.0,6.67,2.0,27.65,1.0,0.00,1.0,0.00,6.2,16.79,4.543
1787410445.661,10.2,10.0,5.34,2.4,80.84,1.0,0.00,1.0,0.00,5.9,33.05,0.121,10.0,13.66,2.0,18.11,1.0,0.00,1.0,0.00,5.9,26.88,3.742
1787410447.133,11.7,10.0,3.98,2.0,163.63,1.0,0.00,1.2,0.00,6.5,12.97,0.000,10.0,4.46,2.7,80.49,1.0,0.00,1.1,100.05,6.5,12.83,3.290
1787410448.712,13.3,10.0,2.06,3.2,27.36,1.0,0.00,1.1,96.36,6.5,15.59,0.000,10.0,10.04,2.6,104.00,1.0,0.00,1.2,0.00,6.4,23.20,2.192
1787410450.431,15.0,10.3,28.41,1.6,341.95,0.9,0.00,1.0,0.00,5.8,33.60,24.330,10.0,13.21,2.0,73.64,1.0,0.00,1.0,0.00,5.8,34.53,1.791
1787410452.012,16.6,10.1,15.15,2.5,62.89,1.0,0.00,1.2,0.00,6.4,22.08,24.009,10.0,5.32,2.1,49.18,1.0,0.00,1.3,0.00,6.4,25.26,0.745
1787410453.524,18.1,9.9,18.25,2.0,85.11,1.0,0.00,1.2,0.00,6.6,15.34,23.019,10.0,7.16,1.8,100.94,1.0,0.00,1.2,2.75,6.6,20.07,0.262
1787410455.269,19.9,10.1,23.51,1.5,44.71,1.0,0.00,1.0,0.00,5.8,23.90,22.545,10.0,10.34,2.8,12.50,1.0,0.00,1.0,0.00,5.8,17.74,0.000
1787410456.948,21.5,9.9,32.97,2.0,8.86,1.0,0.00,1.1,0.00,6.0,28.35,21.767,10.0,19.01,4.6,79.93,1.0,0.00,1.0,0.00,5.9,26.17,0.000
1787410458.460,23.0,10.2,21.37,2.0,65.67,1.0,0.00,1.2,0.00,6.7,13.12,21.272,10.6,24.71,2.4,119.42,1.3,251.20,1.3,0.00,6.6,10.40,23.703
1787410459.973,24.6,10.0,9.99,1.7,4.11,1.0,0.00,1.2,0.00,6.6,11.19,20.466,10.4,22.89,3.4,93.49,1.0,0.00,1.3,0.85,6.7,10.64,23.681
1787410461.696,26.3,10.0,10.47,1.9,21.52,0.5,0.00,1.0,0.00,5.7,17.16,20.082,10.0,5.25,2.3,98.47,1.0,0.00,1.0,0.00,5.7,17.59,23.164
1787410463.364,27.9,10.0,10.46,2.0,39.60,1.0,0.00,1.0,0.00,5.9,23.35,19.277,10.0,4.46,2.0,35.26,0.5,0.00,1.0,0.00,5.9,22.44,22.718
1787410464.874,29.5,10.0,5.92,2.2,7.74,1.0,0.00,1.2,1.32,6.7,16.16,18.452,10.0,5.24,2.2,13.50,1.0,0.00,1.2,0.00,6.7,14.70,21.904
1787410466.512,31.1,10.0,4.47,2.0,52.80,1.0,0.00,1.1,102.96,6.1,23.60,17.934,10.0,2.82,2.1,43.01,0.5,0.00,1.0,0.00,6.3,21.59,21.441
1787410468.355,32.9,10.0,11.99,1.8,68.79,1.0,0.00,1.0,0.00,5.4,36.02,17.184,10.0,14.64,1.8,55.08,1.0,0.00,1.0,0.00,5.3,30.63,20.689
1787410469.994,34.6,10.1,4.09,2.0,33.58,0.5,0.00,1.0,0.00,5.9,23.42,16.784,10.0,2.75,2.0,23.93,1.0,0.00,1.1,95.00,5.9,30.69,19.812
1787410471.470,36.1,10.0,6.37,2.8,79.55,1.0,0.00,1.3,0.16,6.7,17.96,15.790,10.0,1.82,2.2,18.84,1.0,0.00,1.2,0.00,6.7,17.73,19.345
1787410473.382,38.0,10.0,3.45,1.9,78.62,0.9,0.00,1.0,0.00,5.3,33.31,14.927,9.9,4.40,1.8,44.34,1.0,0.00,0.8,0.00,5.3,32.62,18.664
1787410475.105,39.7,10.0,8.01,1.9,32.12,1.0,0.00,1.0,0.00,5.7,17.24,14.558,10.0,8.79,1.9,42.75,1.0,0.00,1.0,0.00,5.7,21.11,17.952
1787410476.596,41.2,10.0,2.69,2.2,28.00,1.0,0.00,1.2,0.00,6.6,16.19,13.577,10.0,7.57,2.2,34.41,1.0,0.00,1.1,100.74,6.6,15.80,17.490
1787410478.185,42.8,10.0,2.15,2.1,40.61,1.0,0.00,1.3,0.00,6.4,16.05,13.058,10.0,2.84,2.2,13.93,1.0,0.00,1.3,0.00,6.4,18.64,16.604
1787410480.129,44.7,10.0,10.08,1.8,15.97,1.0,0.00,1.0,0.00,5.2,20.28,12.208,9.9,6.90,2.3,66.39,0.5,0.00,1.0,0.00,5.2,26.59,16.215
1787410481.769,46.4,10.0,13.36,1.9,8.15,1.0,0.00,1.2,0.00,5.9,33.31,11.427,10.0,8.10,2.4,48.45,1.0,0.00,1.0,0.00,5.9,30.32,15.369
1787410483.268,47.9,10.0,10.86,2.3,22.23,1.0,0.00,1.3,6.70,6.9,14.71,10.927,10.0,5.18,2.3,19.13,1.0,0.00,1.3,7.34,6.9,14.99,14.554
1787410485.008,49.6,10.0,10.99,1.9,36.55,1.0,0.00,1.0,0.00,5.6,25.92,10.077,10.0,9.29,2.0,27.97,1.0,0.00,1.0,0.00,5.7,27.89,14.201
1787410486.817,51.4,10.0,16.05,1.7,64.74,1.0,0.00,1.0,0.00,5.6,49.32,9.277,10.0,9.67,1.8,95.72,1.0,0.00,1.0,0.00,5.6,49.09,13.497
1787410488.398,53.0,10.1,6.33,2.1,22.08,1.0,0.00,1.2,0.00,6.4,11.31,8.877,10.0,3.34,2.1,17.69,0.5,0.00,1.2,0.00,6.5,30.77,13.097
1787410490.066,54.6,10.0,8.45,2.4,74.64,1.0,0.00,1.0,0.00,6.1,17.22,7.874,10.0,3.05,2.0,41.50,1.0,0.00,1.0,0.00,6.0,15.18,12.097
1787410492.002,56.6,10.0,3.97,1.9,125.46,1.0,0.00,1.0,0.00,5.2,32.56,7.027,10.0,2.95,1.7,40.94,1.0,0.00,0.8,0.00,5.1,48.39,11.294
1787410493.750,58.3,10.0,2.84,1.8,65.67,0.5,0.00,1.0,0.00,5.5,28.31,6.638,10.0,3.71,1.8,59.41,1.0,0.00,1.1,97.66,5.7,28.42,10.525
1787410495.450,60.0,9.9,6.47,2.1,32.04,1.0,0.00,1.3,0.00,6.0,21.07,5.816,10.0,2.69,2.0,38.86,1.0,0.00,1.3,0.00,6.0,22.55,10.116
1787410497.149,61.7,9.8,8.77,2.0,86.79,1.0,0.00,1.0,0.00,6.0,37.23,5.030,9.9,3.63,2.0,53.61,1.0,0.00,1.0,0.00,5.8,26.06,9.264
1787410498.934,63.5,10.0,13.49,2.4,121.45,1.0,0.00,1.0,0.00,5.6,39.52,4.177,10.0,9.14,1.8,20.27,1.0,0.00,1.0,0.00,5.6,43.43,8.543
1787410500.533,65.1,10.0,2.62,2.1,18.66,1.0,0.00,1.0,0.00,6.5,20.99,3.675,10.0,2.30,1.7,38.30,1.0,0.00,1.0,13.09,6.1,37.10,8.188
1787410502.204,66.8,10.0,3.79,2.7,76.52,1.0,0.00,1.2,0.00,6.0,17.26,2.708,10.0,8.02,2.2,42.33,1.0,0.00,1.3,0.00,6.0,43.64,7.538
1787410504.197,68.8,10.0,12.57,1.6,12.18,1.0,0.00,1.0,0.00,5.0,56.54,1.914,10.0,10.38,1.6,21.49,1.0,0.00,1.0,0.00,5.0,50.75,6.967
1787410505.907,70.5,10.1,19.52,2.0,51.11,1.0,0.00,1.0,0.00,5.9,29.99,1.495,10.0,9.52,2.0,59.12,0.5,0.00,1.0,0.00,6.0,29.30,6.617
1787410507.547,72.1,9.9,20.26,2.0,3.86,1.0,0.00,1.0,0.00,6.1,9.87,0.545,10.0,10.30,2.0,15.00,1.0,0.00,1.0,0.00,6.1,21.12,5.746
1787410509.356,73.9,9.9,16.24,0.8,0.00,1.0,0.00,1.0,0.00,5.6,38.57,0.050,10.0,9.69,1.8,47.77,1.0,0.00,1.0,0.00,5.6,41.07,4.891
1787410511.083,75.7,10.0,19.54,3.4,138.58,1.0,0.00,1.0,0.00,5.7,12.87,0.000,10.0,5.53,2.0,24.14,0.5,0.00,1.0,0.00,5.7,19.65,4.491
1787410512.782,77.4,9.9,14.81,4.2,94.37,1.0,0.00,1.0,0.00,6.0,13.81,0.000,10.0,9.11,2.0,16.41,1.0,0.00,1.0,0.00,5.9,10.93,3.725
1787410514.493,79.1,10.4,26.03,1.8,221.36,1.6,0.00,1.0,0.00,5.8,18.51,23.727,10.0,2.93,3.0,15.85,1.0,0.00,1.0,0.00,5.8,18.14,2.717
1787410516.389,81.0,9.9,8.57,3.5,99.18,1.0,0.00,0.8,0.00,5.3,29.91,23.625,10.0,3.61,1.7,76.85,1.0,0.00,0.8,0.00,5.3,33.01,1.806
1787410518.107,82.7,10.0,8.00,2.3,84.88,1.0,0.00,1.0,0.00,5.9,20.66,22.713,10.0,3.72,2.0,57.76,1.0,0.00,1.0,0.00,5.8,20.95,1.273
1787410519.790,84.4,10.0,2.52,2.0,13.24,1.0,0.00,1.0,0.00,6.0,8.60,22.145,10.1,3.02,2.0,12.99,1.0,0.00,1.0,0.00,5.9,9.51,0.424
1787410521.756,86.3,10.0,7.27,1.9,81.08,1.0,0.00,1.0,0.00,5.1,22.06,21.542,10.0,10.23,0.7,0.00,1.0,0.00,0.5,0.00,5.1,27.26,0.191
1787410523.569,88.2,9.9,8.78,1.9,20.25,1.0,0.00,1.0,0.00,5.5,23.17,20.882,10.0,3.86,2.9,0.00,1.0,0.00,1.0,0.00,5.5,26.02,0.050
1787410525.267,89.8,10.0,6.48,2.1,1.82,1.0,0.00,1.0,0.00,6.0,23.45,20.481,10.0,3.10,4.6,72.17,1.0,0.00,1.2,0.00,6.0,23.82,0.071
1787410527.248,91.8,10.0,4.58,1.7,45.99,1.0,0.00,0.8,0.00,5.1,25.96,19.636,10.0,6.41,2.1,134.59,1.0,0.00,0.8,0.00,5.0,29.79,0.050
1787410529.063,93.6,10.0,11.35,1.8,6.71,1.0,0.00,1.0,0.00,5.4,34.68,18.972,10.4,25.99,3.1,84.33,1.0,0.00,1.0,0.00,5.5,44.96,23.998
1787410530.788,95.4,10.0,8.51,2.0,2.52,1.0,0.00,1.0,0.00,5.7,23.08,18.305,10.0,4.72,2.5,71.67,1.0,0.00,1.0,0.00,5.8,23.17,23.553
1787410532.534,97.1,10.1,3.88,1.9,43.58,1.0,0.00,1.0,0.00,5.8,19.57,18.002,10.0,4.54,2.0,30.43,1.0,0.00,1.0,0.00,5.8,22.80,23.104
1787410534.457,99.0,10.0,10.05,2.0,32.04,1.0,0.00,1.0,0.00,5.3,47.42,17.242,10.0,9.97,1.3,88.84,0.9,0.00,1.0,0.00,5.2,56.32,22.374
1787410536.218,100.8,10.0,4.93,1.9,43.53,1.0,0.00,1.0,0.00,5.6,19.73,16.420,9.9,6.86,1.4,60.14,1.0,0.00,1.0,0.00,5.6,16.40,21.724
