timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787155605.344230793,panther_controller,26.00%,113.1MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155605.344230793,panther2_controller,25.67%,112.1MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155607.385374950,panther_controller,23.85%,113.5MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155607.385374950,panther2_controller,24.21%,112.9MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155609.395046055,panther_controller,25.59%,112.7MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155609.395046055,panther2_controller,26.22%,112.3MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155611.404864051,panther_controller,21.41%,113MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155611.404864051,panther2_controller,22.47%,112.2MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155613.415121341,panther_controller,25.09%,112.9MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155613.415121341,panther2_controller,25.10%,112.7MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155615.424404576,panther_controller,24.19%,113.5MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155615.424404576,panther2_controller,24.60%,112.2MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155617.434617853,panther_controller,23.91%,113MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155617.434617853,panther2_controller,24.35%,112.8MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155619.443884875,panther_controller,25.83%,113MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155619.443884875,panther2_controller,26.73%,112.8MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155621.452744008,panther_controller,22.71%,113MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155621.452744008,panther2_controller,23.46%,112.4MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155623.462726582,panther_controller,22.24%,113.2MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155623.462726582,panther2_controller,23.47%,112.4MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155625.473220673,panther_controller,25.40%,112.7MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155625.473220673,panther2_controller,25.81%,112.3MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155627.482873628,panther_controller,23.75%,113.4MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155627.482873628,panther2_controller,23.66%,112.6MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155629.493338855,panther_controller,22.68%,112.5MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155629.493338855,panther2_controller,23.34%,112.8MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155631.503336924,panther_controller,23.74%,113.3MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155631.503336924,panther2_controller,23.61%,112.6MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155633.512841462,panther_controller,22.87%,113.3MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155633.512841462,panther2_controller,22.72%,112.8MiB / 31.05GiB,0B / 0B,475kB / 1.43MB,72
1787155635.522487152,panther_controller,23.74%,113.1MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155635.522487152,panther2_controller,24.39%,112.3MiB / 31.05GiB,0B / 0B,475kB / 1.44MB,72
1787155637.532397642,panther_controller,25.88%,113MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155637.532397642,panther2_controller,25.69%,112.5MiB / 31.05GiB,0B / 0B,475kB / 1.44MB,72
1787155639.542311515,panther_controller,24.95%,112.8MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155639.542311515,panther2_controller,25.23%,112.7MiB / 31.05GiB,0B / 0B,475kB / 1.44MB,72
1787155641.551167467,panther_controller,23.46%,113.2MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155641.551167467,panther2_controller,23.92%,112.4MiB / 31.05GiB,0B / 0B,475kB / 1.44MB,72
1787155643.561400960,panther_controller,24.63%,113.3MiB / 31.05GiB,0B / 0B,1.72MB / 1.43MB,56
1787155643.561400960,panther2_controller,25.33%,112.8MiB / 31.05GiB,0B / 0B,475kB / 1.44MB,72
