wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787412741.943,0.1,0.0,0.00,0.0,0.00,0.0,0.00,0.5,0.00,0.0,0.00,0.000,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.000
1787412743.478,1.7,10.0,8.92,2.1,6.95,1.0,0.00,1.4,260.78,4.7,121.44,6.509,10.0,7.37,2.4,100.04,1.0,0.00,1.2,0.00,6.4,31.94,14.192
1787412744.953,3.1,10.0,12.92,2.1,28.19,1.0,0.00,1.2,0.00,6.5,17.72,6.037,10.0,12.76,2.4,58.36,1.0,0.00,1.2,0.00,6.5,18.52,13.686
1787412746.456,4.6,10.0,3.32,1.9,82.20,1.0,0.00,1.2,0.00,7.0,16.11,5.092,10.0,6.89,2.3,24.47,1.0,0.00,1.2,0.00,7.0,16.66,12.692
1787412747.842,6.0,10.0,3.62,1.7,43.36,1.0,0.00,1.3,0.00,7.0,14.72,4.652,10.0,7.14,2.3,31.37,1.0,0.00,1.3,10.91,7.0,22.65,12.236
1787412749.409,7.6,10.0,3.59,2.1,35.15,1.0,0.00,1.2,0.00,6.5,16.50,3.720,10.0,6.95,2.1,17.77,1.0,0.00,1.2,0.77,6.5,18.45,11.336
1787412750.884,9.1,10.0,6.39,2.0,121.22,1.0,0.00,1.3,3.28,6.7,20.21,3.294,10.0,6.53,2.3,50.10,1.0,0.00,1.2,1.93,6.8,20.01,10.836
1787412752.400,10.6,9.9,8.63,2.2,19.76,1.0,0.00,1.2,13.96,6.7,22.46,2.277,10.0,10.95,2.2,28.47,0.5,0.00,1.3,0.09,6.7,22.77,10.286
1787412753.818,12.0,10.0,5.02,2.4,17.29,1.0,0.00,1.3,0.00,6.8,20.46,1.662,10.0,8.24,2.4,16.74,1.0,0.00,1.2,0.00,6.8,20.23,9.383
1787412755.336,13.5,10.0,11.52,2.2,22.27,1.0,0.00,1.3,0.00,6.6,16.62,1.096,10.0,8.04,2.2,21.64,1.0,0.00,1.3,0.00,6.6,14.22,8.783
1787412756.922,15.1,10.0,11.32,1.4,20.69,1.0,0.00,1.0,0.00,6.4,21.30,0.362,10.0,10.29,2.1,42.31,1.0,0.00,1.0,0.00,6.3,23.90,7.895
1787412758.417,16.6,10.0,4.93,1.6,10.34,1.0,0.00,1.3,0.00,6.7,17.84,0.221,10.1,8.78,2.2,30.04,1.0,0.00,1.2,0.21,6.7,18.33,7.495
1787412759.904,18.1,10.0,4.71,2.3,69.13,1.0,0.00,1.2,2.69,6.9,19.05,0.241,10.0,7.98,2.3,36.99,1.0,0.00,1.3,0.40,6.9,19.29,6.658
1787412761.538,19.7,10.0,8.84,3.1,34.58,0.5,0.00,1.1,74.11,6.3,25.10,0.241,10.0,5.48,2.1,9.33,1.0,0.00,1.1,99.75,6.1,24.36,6.285
1787412763.057,21.2,10.0,10.25,2.1,44.10,1.0,0.00,1.0,0.00,6.4,17.62,0.150,10.0,9.11,2.1,60.24,1.0,0.00,1.2,0.40,6.4,23.36,5.434
1787412764.525,22.7,10.0,9.35,1.9,59.64,1.0,0.00,1.2,0.00,7.0,14.89,0.121,10.0,8.41,2.3,11.36,1.0,0.00,1.2,0.00,7.0,22.44,4.935
1787412765.986,24.2,10.2,27.73,2.4,140.19,2.6,0.00,1.3,3.55,6.7,13.80,24.497,10.0,11.31,2.2,32.05,1.0,0.00,1.2,0.00,6.7,15.46,4.036
1787412767.629,25.8,10.0,2.19,2.3,87.36,0.9,0.00,1.0,0.00,6.1,25.17,23.888,9.8,11.41,2.0,21.66,1.0,0.00,1.0,0.00,6.2,27.63,3.734
1787412769.112,27.3,10.0,5.98,2.2,26.28,1.0,0.00,1.2,2.44,6.6,26.11,23.464,10.0,14.43,2.2,26.81,1.0,0.00,1.3,4.91,6.6,33.15,2.812
1787412770.575,28.7,10.1,2.57,1.9,75.50,1.0,0.00,1.2,0.00,6.9,13.00,22.424,10.0,11.55,2.3,30.74,1.0,0.00,1.2,1.86,7.0,22.63,2.189
1787412772.069,30.2,10.0,2.12,2.0,72.33,0.9,0.00,1.2,0.00,6.6,17.72,21.979,10.1,22.22,2.3,32.60,1.0,0.00,1.3,11.82,5.5,83.83,1.146
1787412773.741,31.9,10.0,7.90,1.5,23.67,0.9,0.00,1.0,0.00,6.0,22.44,21.031,9.8,23.39,2.0,13.59,1.0,0.00,1.0,0.00,6.0,27.56,0.645
1787412775.222,33.4,10.0,9.86,1.7,51.46,1.0,0.00,1.3,0.00,6.5,22.68,20.577,10.0,25.92,1.3,0.00,1.0,0.00,1.3,0.00,6.5,27.32,0.050
1787412776.683,34.9,10.0,2.03,2.3,19.81,1.0,0.00,1.3,2.61,6.8,17.61,19.877,10.0,11.71,3.8,75.77,1.0,0.00,1.3,14.54,6.8,17.47,0.000
1787412778.131,36.3,10.0,2.08,2.3,8.52,1.3,326.21,1.3,0.06,6.9,24.27,19.227,10.0,7.40,4.7,84.50,0.5,0.00,1.2,0.63,6.8,22.12,0.050
1787412779.797,38.0,10.0,12.70,2.2,137.06,1.0,0.00,1.1,98.85,6.1,55.35,18.757,10.1,33.45,1.8,251.24,1.7,428.21,1.3,0.00,6.1,64.53,23.798
1787412781.352,39.5,10.1,5.34,2.4,103.59,1.0,0.00,1.0,0.00,6.6,27.56,17.834,9.9,17.00,3.9,134.06,0.5,0.00,1.0,0.00,6.7,28.28,23.791
1787412782.875,41.0,10.0,4.74,2.3,27.37,1.0,0.00,1.2,0.00,6.7,19.02,17.334,10.1,19.49,2.8,94.76,0.9,0.00,1.3,9.35,6.7,24.45,23.200
1787412784.513,42.7,10.0,4.48,2.1,14.02,1.0,0.00,1.0,0.00,6.4,18.53,16.390,9.9,19.86,2.1,7.85,0.5,0.00,1.3,0.00,6.3,21.62,22.745
1787412786.205,44.4,10.0,4.38,1.9,29.81,1.0,0.00,1.0,0.00,5.7,29.02,15.984,10.1,30.37,2.0,18.31,0.9,0.00,1.0,0.00,5.7,51.07,22.046
1787412787.665,45.8,10.0,4.06,2.3,42.69,1.0,0.00,1.2,0.00,6.6,22.50,15.035,10.1,26.47,2.3,38.63,0.5,0.00,1.3,10.09,6.6,22.65,21.779
1787412789.254,47.4,10.0,2.38,2.1,30.51,1.0,0.00,1.0,0.00,6.4,20.73,14.608,10.0,16.58,2.1,11.97,1.0,0.00,1.0,0.00,6.3,23.39,21.030
1787412790.872,49.0,10.0,1.96,2.1,43.45,1.0,0.00,1.2,0.00,6.1,18.81,13.677,10.0,15.80,2.1,46.54,0.5,0.00,1.3,0.00,6.1,24.21,20.582
1787412792.580,50.8,10.0,4.60,2.4,129.92,1.0,0.00,1.0,0.00,5.8,30.57,12.777,10.1,13.97,1.9,45.02,1.0,0.00,1.0,0.00,5.6,29.49,19.634
1787412794.016,52.2,10.0,3.61,2.4,18.59,1.0,0.00,1.2,0.54,6.9,23.50,12.274,10.1,17.33,2.3,16.28,1.0,0.00,1.3,7.03,5.8,81.29,18.762
1787412795.582,53.8,10.0,6.36,2.1,28.10,0.5,0.00,1.0,0.00,6.4,21.69,11.877,10.1,19.87,2.1,44.51,1.0,0.00,1.0,0.00,6.5,21.26,18.382
1787412797.216,55.4,10.0,7.58,2.0,28.87,1.0,0.00,1.0,0.00,6.2,11.44,10.977,10.1,17.79,2.0,46.94,1.0,0.00,1.0,0.00,6.2,18.37,17.545
1787412798.750,56.9,10.1,7.63,2.1,30.73,1.0,0.00,1.1,100.96,6.4,22.21,10.024,10.0,24.03,2.4,98.07,1.0,0.00,1.2,0.00,6.6,26.45,17.097
