timestamp,name,cpu_perc,mem_usage,net_io,block_io,pids
1787507007.756961394,panther_controller,30.83%,102MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507007.756961394,panther2_controller,36.01%,100.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507009.800729023,panther_controller,35.08%,103MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507009.800729023,panther2_controller,38.45%,102.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507011.811990311,panther_controller,31.61%,103MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507011.811990311,panther2_controller,36.48%,102.4MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507013.820933193,panther_controller,32.49%,103.1MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507013.820933193,panther2_controller,36.06%,103MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507015.830416555,panther_controller,32.34%,103.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507015.830416555,panther2_controller,35.63%,103MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507017.840180372,panther_controller,30.76%,103.8MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507017.840180372,panther2_controller,35.43%,103.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507019.850669664,panther_controller,32.50%,103.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507019.850669664,panther2_controller,37.12%,103.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507021.859787906,panther_controller,30.59%,104MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507021.859787906,panther2_controller,35.44%,103.6MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507023.869726036,panther_controller,28.95%,103.7MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507023.869726036,panther2_controller,34.16%,103.5MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507025.878308412,panther_controller,31.66%,104.1MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507025.878308412,panther2_controller,36.68%,103.8MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507027.887483080,panther_controller,30.94%,104.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507027.887483080,panther2_controller,36.48%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507029.897233263,panther_controller,30.56%,104.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507029.897233263,panther2_controller,36.14%,103.9MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507031.907473249,panther_controller,31.87%,103.6MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507031.907473249,panther2_controller,37.57%,104.1MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507033.917247274,panther_controller,30.77%,103.4MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507033.917247274,panther2_controller,35.16%,104.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507035.928189068,panther_controller,34.56%,103.9MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507035.928189068,panther2_controller,36.50%,104.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507037.937317509,panther_controller,36.64%,104.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507037.937317509,panther2_controller,36.87%,104.2MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507039.946638983,panther_controller,33.84%,104.2MiB / 31.05GiB,0B / 0B,0B / 963kB,55
1787507039.946638983,panther2_controller,34.60%,104.3MiB / 31.05GiB,0B / 0B,0B / 967kB,56
1787507041.956109761,panther_controller,35.32%,104.4MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507041.956109761,panther2_controller,36.00%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507043.964542174,panther_controller,34.65%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507043.964542174,panther2_controller,35.31%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507045.975083901,panther_controller,32.80%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507045.975083901,panther2_controller,32.05%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507047.985498628,panther_controller,35.73%,104.3MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507047.985498628,panther2_controller,34.18%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507049.995684567,panther_controller,35.90%,104.3MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507049.995684567,panther2_controller,33.02%,104.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507052.005483791,panther_controller,33.35%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507052.005483791,panther2_controller,32.75%,104.1MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507054.015905497,panther_controller,36.58%,104.1MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507054.015905497,panther2_controller,37.57%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507056.025308579,panther_controller,33.69%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507056.025308579,panther2_controller,36.89%,104.2MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507058.034181280,panther_controller,34.24%,104MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507058.034181280,panther2_controller,35.96%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507060.043104595,panther_controller,37.29%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507060.043104595,panther2_controller,36.89%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507062.052513319,panther_controller,34.38%,104.2MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507062.052513319,panther2_controller,32.95%,104.1MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507064.062637875,panther_controller,35.13%,104.3MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507064.062637875,panther2_controller,33.38%,104.3MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507066.073134822,panther_controller,35.09%,104.4MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507066.073134822,panther2_controller,33.75%,104.2MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507068.082800281,panther_controller,35.36%,104.4MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507068.082800281,panther2_controller,33.86%,104.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
1787507070.092307829,panther_controller,34.37%,104.3MiB / 31.05GiB,0B / 0B,0B / 971kB,55
1787507070.092307829,panther2_controller,33.33%,104.5MiB / 31.05GiB,0B / 0B,0B / 975kB,56
