wall_time,namespace,status,duration_s,path_length_m,recoveries_spin,recoveries_backup,recoveries_wait,recoveries_drive_on_heading
1787507046.776892,panther,SUCCEEDED,36.749,0.0,0,0,0,0
1787507065.8494759,panther2,SUCCEEDED,55.821,0.05,0,0,0,0
1787507110.9788365,panther,SUCCEEDED,64.169,0.071,0,0,0,0
1787507134.6851132,panther2,SUCCEEDED,68.777,0.121,0,0,0,0
1787507184.1937249,panther,SUCCEEDED,73.162,0.121,0,0,0,0
1787507219.923806,panther2,SUCCEEDED,85.173,0.05,0,0,0,0
1787507275.9767687,panther,SUCCEEDED,91.711,0.05,0,0,0,0
1787507276.5237374,panther2,SUCCEEDED,56.571,0.121,0,0,0,0
1787507338.076586,panther,SUCCEEDED,62.068,0.071,0,0,0,0
1787507359.1855743,panther2,SUCCEEDED,82.574,0.0,0,0,0,0
1787507427.3615336,panther,SUCCEEDED,89.277,0.05,0,0,0,0
1787507455.0016193,panther2,SUCCEEDED,95.76,0.05,0,0,0,0
